,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
11.0/F低層A,11.0,低層,A,7341068,13799,532,325,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
26.0/F中層A,26.0,中層,A,7592704,14272,532,329,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
40.0/F高層A,40.0,高層,A,7904456,14858,532,388,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
11.0/F低層B,11.0,低層,B,6967290,14730,473,377,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
26.0/F中層B,26.0,中層,B,7056214,14918,473,396,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
40.0/F高層B,40.0,高層,B,7263861,15357,473,383,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
11.0/F低層C,11.0,低層,C,6704302,14174,473,352,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
26.0/F中層C,26.0,中層,C,7001346,14802,473,331,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
40.0/F高層C,40.0,高層,C,7294606,15422,473,393,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
11.0/F低層D,11.0,低層,D,7220836,13573,532,362,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
26.0/F中層D,26.0,中層,D,7546952,14186,532,357,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
40.0/F高層D,40.0,高層,D,7824656,14708,532,399,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
11.0/F低層E,11.0,低層,E,7330428,13779,532,389,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
26.0/F中層E,26.0,中層,E,7629412,14341,532,327,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
40.0/F高層E,40.0,高層,E,8083740,15195,532,381,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
11.0/F低層F,11.0,低層,F,6846675,14475,473,397,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
26.0/F中層F,26.0,中層,F,7165004,15148,473,376,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
40.0/F高層F,40.0,高層,F,7422789,15693,473,348,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
11.0/F低層G,11.0,低層,G,6849986,14482,473,401,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
26.0/F中層G,26.0,中層,G,7093581,14997,473,327,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
40.0/F高層G,40.0,高層,G,7427992,15704,473,385,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
11.0/F低層H,11.0,低層,H,7408100,13925,532,382,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
26.0/F中層H,26.0,中層,H,7486304,14072,532,321,3,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
40.0/F高層H,40.0,高層,H,7824124,14707,532,392,4,NTKO,"EAST POINT CITY(Block 6),CHUNG WA RD|東港城6座,重華路"
