,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
3.0/F低層G,3.0,低層,G,6771629,14689,461,324,3,NTM
8.0/F中層G,8.0,中層,G,6909007,14987,461,402,4,NTM
12.0/F高層G,12.0,高層,G,7037165,15265,461,395,4,NTM
3.0/F低層H,3.0,低層,H,4757260,15346,310,444,3,NTM
8.0/F中層H,8.0,中層,H,4942330,15943,310,439,3,NTM
12.0/F高層H,12.0,高層,H,5091750,16425,310,427,3,NTM
3.0/F低層J,3.0,低層,J,4705082,15326,307,444,3,NTM
8.0/F中層J,8.0,中層,J,4919061,16023,307,445,3,NTM
12.0/F高層J,12.0,高層,J,5199045,16935,307,438,3,NTM
3.0/F低層L,3.0,低層,L,4970364,15484,321,388,3,NTM
8.0/F中層L,8.0,中層,L,5184150,16150,321,388,3,NTM
12.0/F高層L,12.0,高層,L,5273709,16429,321,374,3,NTM
3.0/F低層M,3.0,低層,M,3619513,16231,223,440,3,NTM
8.0/F中層M,8.0,中層,M,3754651,16837,223,426,3,NTM
12.0/F高層M,12.0,高層,M,3863921,17327,223,408,3,NTM
3.0/F低層N,3.0,低層,N,3747738,16806,223,443,3,NTM
8.0/F中層N,8.0,中層,N,4007756,17972,223,444,3,NTM
12.0/F高層N,12.0,高層,N,4128399,18513,223,428,3,NTM
3.0/F低層P,3.0,低層,P,3993164,16778,238,386,3,NTM
8.0/F中層P,8.0,中層,P,4165000,17500,238,386,3,NTM
12.0/F高層P,12.0,高層,P,4245920,17840,238,371,3,NTM
3.0/F低層Q,3.0,低層,Q,4935071,15767,313,440,3,NTM
8.0/F中層Q,8.0,中層,Q,5154171,16467,313,440,3,NTM
12.0/F高層Q,12.0,高層,Q,5307854,16958,313,421,3,NTM
3.0/F低層R,3.0,低層,R,5527548,14859,372,443,3,NTM
8.0/F中層R,8.0,中層,R,5745168,15444,372,444,3,NTM
12.0/F高層R,12.0,高層,R,5824404,15657,372,443,3,NTM
