,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,4975740,15796,315,347,3,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
14.0/F中層A,14.0,中層,A,5215140,16556,315,321,3,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
22.0/F高層A,22.0,高層,A,5334210,16934,315,390,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
7.0/F低層B,7.0,低層,B,5105400,15240,335,323,3,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
14.0/F中層B,14.0,中層,B,5415945,16167,335,324,3,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
22.0/F高層B,22.0,高層,B,5644080,16848,335,402,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
7.0/F低層C,7.0,低層,C,5096690,15214,335,379,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
14.0/F中層C,14.0,中層,C,4858170,14502,335,331,3,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
22.0/F高層C,22.0,高層,C,5594500,16700,335,338,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
7.0/F低層D,7.0,低層,D,4688418,15947,294,346,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
14.0/F中層D,14.0,中層,D,4883634,16611,294,337,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
22.0/F高層D,22.0,高層,D,5008290,17035,294,318,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
7.0/F低層E,7.0,低層,E,4893725,16045,305,334,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
14.0/F中層E,14.0,中層,E,4955030,16246,305,333,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
22.0/F高層E,22.0,高層,E,5151145,16889,305,327,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
7.0/F低層F,7.0,低層,F,5301375,15825,335,397,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
14.0/F中層F,14.0,中層,F,5434035,16221,335,381,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
22.0/F高層F,22.0,高層,F,5687295,16977,335,349,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
7.0/F低層G,7.0,低層,G,5152756,15806,326,391,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
14.0/F中層G,14.0,中層,G,5235234,16059,326,387,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
22.0/F高層G,22.0,高層,G,5603545,16727,335,373,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
7.0/F低層H,7.0,低層,H,4721291,15181,311,378,4,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
14.0/F中層H,14.0,中層,H,4833251,15541,311,369,3,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
22.0/F高層H,22.0,高層,H,5066190,16290,311,362,3,HNP,"EVERWIN BLDG,KING'S RD|康威大廈,英皇道"
