,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
8.0/F低層A,8.0,低層,A,11484792,15354,748,186,2,HSKW
15.0/F中層A,15.0,中層,A,11744352,15957,736,210,2,HSKW
22.0/F高層A,22.0,高層,A,12174912,16542,736,231,2,HSKW
8.0/F低層B,8.0,低層,B,10583264,16232,652,212,2,HSKW
15.0/F中層B,15.0,中層,B,10774952,16526,652,168,2,HSKW
22.0/F高層B,22.0,高層,B,11065092,16971,652,165,2,HSKW
8.0/F低層C,8.0,低層,C,11925672,17512,681,96,1,HSKW
15.0/F中層C,15.0,中層,C,11397216,16736,681,158,2,HSKW
22.0/F高層C,22.0,高層,C,11670297,17137,681,155,2,HSKW
8.0/F低層D,8.0,低層,D,10834032,14484,748,69,1,HSKW
15.0/F中層D,15.0,中層,D,11068704,15039,736,77,1,HSKW
22.0/F高層D,22.0,高層,D,11466144,15579,736,84,1,HSKW
8.0/F低層E,8.0,低層,E,11158488,14454,772,67,1,HSKW
15.0/F中層E,15.0,中層,E,11573824,14992,772,74,1,HSKW
22.0/F高層E,22.0,高層,E,11989932,15531,772,81,1,HSKW
8.0/F低層F,8.0,低層,F,10002720,14560,687,66,1,HSKW
15.0/F中層F,15.0,中層,F,10375074,15102,687,73,1,HSKW
22.0/F高層F,22.0,高層,F,10748115,15645,687,80,1,HSKW
8.0/F低層G,8.0,低層,G,10002720,14560,687,66,1,HSKW
15.0/F中層G,15.0,中層,G,10375074,15102,687,73,1,HSKW
22.0/F高層G,22.0,高層,G,10748115,15645,687,80,1,HSKW
8.0/F低層H,8.0,低層,H,13761672,17826,772,77,1,HSKW
15.0/F中層H,15.0,中層,H,14255752,18466,772,88,1,HSKW
22.0/F高層H,22.0,高層,H,14750604,19107,772,83,1,HSKW
