,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,9182512,15511,592,320,4,HMW
16.0/F中層A,16.0,中層,A,9892912,16711,592,359,4,HMW
26.0/F高層A,26.0,高層,A,10620480,17940,592,324,3,HMW
6.0/F低層B,6.0,低層,B,5622870,17039,330,388,4,HMW
16.0/F中層B,16.0,中層,B,5992140,18158,330,393,4,HMW
26.0/F高層B,26.0,高層,B,6276270,19019,330,320,3,HMW
6.0/F低層C,6.0,低層,C,5704050,17285,330,332,4,HMW
16.0/F中層C,16.0,中層,C,6072330,18401,330,327,4,HMW
26.0/F高層C,26.0,高層,C,6687142,19327,346,304,4,HMW
6.0/F低層D,6.0,低層,D,9254749,15929,581,329,4,HMW
16.0/F中層D,16.0,中層,D,10057320,16380,614,342,4,HMW
26.0/F高層D,26.0,高層,D,10129154,17434,581,356,4,HMW
