,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,6649936,11233,592,320,3,NMOS
16.0/F中層A,16.0,中層,A,6878448,11619,592,396,4,NMOS
25.0/F高層A,25.0,高層,A,7256736,12258,592,358,4,NMOS
6.0/F低層B,6.0,低層,B,6379776,11232,568,380,4,NMOS
16.0/F中層B,16.0,中層,B,6585392,11594,568,324,3,NMOS
25.0/F高層B,25.0,高層,B,6893816,12137,568,349,4,NMOS
6.0/F低層C,6.0,低層,C,4987101,11571,431,315,4,NMOS
16.0/F中層C,16.0,中層,C,5211221,12091,431,341,4,NMOS
25.0/F高層C,25.0,高層,C,5430600,12600,431,316,4,NMOS
6.0/F低層D,6.0,低層,D,6465544,11383,568,344,4,NMOS
16.0/F中層D,16.0,中層,D,6681952,11764,568,339,4,NMOS
25.0/F高層D,25.0,高層,D,6931872,12204,568,309,4,NMOS
6.0/F低層E,6.0,低層,E,6802080,11490,592,360,3,NMOS
16.0/F中層E,16.0,中層,E,7097488,11989,592,340,3,NMOS
25.0/F高層E,25.0,高層,E,7276864,12292,592,400,4,NMOS
6.0/F低層F,6.0,低層,F,6718016,11348,592,397,4,NMOS
16.0/F中層F,16.0,中層,F,6922848,11694,592,393,4,NMOS
25.0/F高層F,25.0,高層,F,7202272,12166,592,375,4,NMOS
6.0/F低層G,6.0,低層,G,5586378,11566,483,300,4,NMOS
16.0/F中層G,16.0,中層,G,5706645,11815,483,308,4,NMOS
25.0/F高層G,25.0,高層,G,6051507,12529,483,344,5,NMOS
6.0/F低層H,6.0,低層,H,5113815,11865,431,308,4,NMOS
16.0/F中層H,16.0,中層,H,5276302,12242,431,335,4,NMOS
25.0/F高層H,25.0,高層,H,5504301,12771,431,315,4,NMOS
6.0/F低層J,6.0,低層,J,5370489,12123,443,321,4,NMOS
16.0/F中層J,16.0,中層,J,5568067,12569,443,334,4,NMOS
25.0/F高層J,25.0,高層,J,5711599,12893,443,324,4,NMOS
6.0/F低層K,6.0,低層,K,6749392,11401,592,354,4,NMOS
16.0/F中層K,16.0,中層,K,6980864,11792,592,344,4,NMOS
25.0/F高層K,25.0,高層,K,7241936,12233,592,314,4,NMOS
