,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
9.0/F低層1,9.0,低層,1,9430800.0,15718.0,600.0,350,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
20.0/F中層1,20.0,中層,1,9693000.0,16155.0,600.0,327,3,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
30.0/F高層1,30.0,高層,1,10449600.0,17416.0,600.0,322,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
9.0/F低層2,9.0,低層,2,9642240.0,15552.0,620.0,373,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
20.0/F中層2,20.0,中層,2,10117160.0,16318.0,620.0,356,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
30.0/F高層2,30.0,高層,2,10690040.0,17242.0,620.0,325,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
9.0/F低層3,9.0,低層,3,9868200.0,16447.0,600.0,403,3,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
20.0/F中層3,20.0,中層,3,10116000.0,16860.0,600.0,363,3,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
30.0/F高層3,30.0,高層,3,10665600.0,17776.0,600.0,339,3,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
9.0/F低層4,9.0,低層,4,9665180.0,15589.0,620.0,343,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
20.0/F中層4,20.0,中層,4,10095460.0,16283.0,620.0,327,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
30.0/F高層4,30.0,高層,4,10665860.0,17203.0,620.0,301,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
9.0/F低層5,9.0,低層,5,7108770.0,16342.0,435.0,317,5,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
20.0/F中層5,20.0,中層,5,7565520.0,17392.0,435.0,296,5,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
30.0/F高層5,30.0,高層,5,7883940.0,18124.0,435.0,324,4,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
9.0/F低層6,9.0,低層,6,9242730.0,15534.0,595.0,375,3,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
20.0/F中層6,20.0,中層,6,9493225.0,15955.0,595.0,338,3,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
30.0/F高層6,30.0,高層,6,10442250.0,17550.0,595.0,370,3,HNP,"FORTRESS METRO TOWER(Block A),KING'S RD|康澤花園A座,英皇道"
