,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
9.0/F低層1,9.0,低層,1,8963950,14695,610,312,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
20.0/F中層1,20.0,中層,1,9573340,15694,610,322,3,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
30.0/F高層1,30.0,高層,1,9806970,16077,610,354,5,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
9.0/F低層2,9.0,低層,2,8450705,14957,565,363,3,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
20.0/F中層2,20.0,中層,2,8952425,15845,565,383,3,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
30.0/F高層2,30.0,高層,2,9480700,16780,565,338,3,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
9.0/F低層3,9.0,低層,3,7205976,15768,457,377,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
20.0/F中層3,20.0,中層,3,7931692,17356,457,367,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
30.0/F高層3,30.0,高層,3,8295007,18151,457,358,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
9.0/F低層4,9.0,低層,4,5648760,14484,390,353,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
20.0/F中層4,20.0,中層,4,6909630,17717,390,373,3,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
30.0/F高層4,30.0,高層,4,7160790,18361,390,421,3,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
9.0/F低層5,9.0,低層,5,7182290,16703,430,341,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
20.0/F中層5,20.0,中層,5,7442010,17307,430,331,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
30.0/F高層5,30.0,高層,5,7717640,17948,430,341,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
9.0/F低層6,9.0,低層,6,8221315,14551,565,345,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
20.0/F中層6,20.0,中層,6,8778405,15537,565,339,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
30.0/F高層6,30.0,高層,6,9763765,17281,565,327,4,HNP,"FORTRESS METRO TOWER(Block B),KING'S RD|康澤花園B座,英皇道"
