,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層1,6.0,低層,1,3923660.0,15091.0,260.0,327,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
12.0/F中層1,12.0,中層,1,4046640.0,15564.0,260.0,324,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
19.0/F高層1,19.0,高層,1,4037800.0,15530.0,260.0,397,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
6.0/F低層2,6.0,低層,2,3906636.0,15142.0,258.0,387,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
12.0/F中層2,12.0,中層,2,4014480.0,15560.0,258.0,402,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
19.0/F高層2,19.0,高層,2,4147092.0,16074.0,258.0,386,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
6.0/F低層3,6.0,低層,3,3952585.0,16133.0,245.0,330,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
12.0/F中層3,12.0,中層,3,4009915.0,16367.0,245.0,384,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
19.0/F高層3,19.0,高層,3,3973655.0,16219.0,245.0,372,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
6.0/F低層4,6.0,低層,4,3921959.9999999995,16008.0,245.0,390,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
12.0/F中層4,12.0,中層,4,3979290.0,16242.0,245.0,399,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
19.0/F高層4,19.0,高層,4,4016040.0,16392.0,245.0,361,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
6.0/F低層5,6.0,低層,5,3985669.9999999995,13330.0,299.0,355,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
12.0/F中層5,12.0,中層,5,3977298.0,13302.0,299.0,380,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
19.0/F高層5,19.0,高層,5,4054739.0,13561.0,299.0,373,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
6.0/F低層6,6.0,低層,6,3850600.0,14810.0,260.0,394,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
12.0/F中層6,12.0,中層,6,3903120.0,15012.0,260.0,320,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
19.0/F高層6,19.0,高層,6,3931200.0,15120.0,260.0,321,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
6.0/F低層7,6.0,低層,7,3757750.0,15031.0,250.0,394,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
12.0/F中層7,12.0,中層,7,3797000.0,15188.0,250.0,325,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
19.0/F高層7,19.0,高層,7,3854750.0,15419.0,250.0,332,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
6.0/F低層8,6.0,低層,8,3812690.0,15562.0,245.0,364,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
12.0/F中層8,12.0,中層,8,3800440.0000000005,15512.0,245.0,366,4,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
19.0/F高層8,19.0,高層,8,3654419.9999999995,14916.0,245.0,341,3,HCW,"GOLD MINE BLDG(Block B),CHAI WAN RD|金源洋樓B座,柴灣道"
