,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,6454730,15011,430,252,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
15.0/F中層A,15.0,中層,A,6861510,15957,430,239,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
24.0/F高層A,24.0,高層,A,7271730,16911,430,212,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
6.0/F低層B,6.0,低層,B,6462040,15028,430,340,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
15.0/F中層B,15.0,中層,B,6858930,15951,430,331,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
24.0/F高層B,24.0,高層,B,7270010,16907,430,385,4,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
6.0/F低層C,6.0,低層,C,7822528,14704,532,243,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
15.0/F中層C,15.0,中層,C,8317288,15634,532,230,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
24.0/F高層C,24.0,高層,C,8815240,16570,532,203,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
6.0/F低層D,6.0,低層,D,7814548,14689,532,288,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
15.0/F中層D,15.0,中層,D,8311436,15623,532,275,3,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
24.0/F高層D,24.0,高層,D,10244724,19257,532,203,2,HMW,"GOLDEN PHOENIX COURT,ST. STEPHEN'S LANE|金鳳閣,聖士提反里"
