,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層1,7.0,低層,1,5163015.0,11869.0,435,287,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層1,12.0,中層,1,5304390.0,12194.0,435,291,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層1,16.0,高層,1,5417925.0,12455.0,435,289,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層10,7.0,低層,10,5301602.0,11887.0,446,327,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層10,12.0,中層,10,5445214.0,12209.0,446,329,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層10,16.0,高層,10,5560728.0,12468.0,446,325,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層2,7.0,低層,2,4246238.0,11861.0,358,266,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層2,12.0,中層,2,4173840.0,12276.0,340,274,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層2,16.0,高層,2,4269380.0,12557.0,340,277,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層3,7.0,低層,3,7086240.0,12432.0,570,372,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層3,12.0,中層,3,6992190.0,12267.0,570,366,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層3,16.0,高層,3,7130700.0,12510.0,570,352,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層4,7.0,低層,4,4243750.0,12125.0,350,259,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層4,12.0,中層,4,4367300.0,12478.0,350,267,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層4,16.0,高層,4,4468800.0,12768.0,350,271,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層5,7.0,低層,5,4220300.0,12058.0,350,223,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層5,12.0,中層,5,4339650.0,12399.0,350,228,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層5,16.0,高層,5,4438700.0,12682.0,350,230,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層6,7.0,低層,6,6654995.0,12211.0,545,341,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層6,12.0,中層,6,6752005.0,12389.0,545,331,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層6,16.0,高層,6,6899155.0,12659.0,545,321,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層7,7.0,低層,7,4737960.0,13161.0,360,285,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層7,12.0,中層,7,4844879.999999999,13458.0,360,239,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層7,16.0,高層,7,4950720.0,13752.0,360,233,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層8,7.0,低層,8,5752300.0,12505.0,460,349,5,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層8,12.0,中層,8,6174580.0,13423.0,460,368,4,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層8,16.0,高層,8,5540240.0,12044.0,460,216,3,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
7.0/F低層9,7.0,低層,9,6578695.0,12071.0,545,348,5,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
12.0/F中層9,12.0,中層,9,6762905.0,12409.0,545,337,5,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
16.0/F高層9,16.0,高層,9,6909510.0,12678.0,545,325,5,HNP,"HANG YING HSE,KING'S RD|恒英大廈,英皇道"
