,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,5134268,11359,452,338,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層A,16.0,中層,A,5273032,11666,452,359,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層A,26.0,高層,A,5408180,11965,452,337,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層B,6.0,低層,B,5985418,10162,589,331,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層B,16.0,中層,B,6157995,10455,589,361,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層B,26.0,高層,B,6225730,10570,589,346,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層C,6.0,低層,C,5974464,10092,592,374,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層C,16.0,中層,C,6200608,10474,592,386,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層C,26.0,高層,C,6346240,10720,592,331,3,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層D,6.0,低層,D,5247000,10600,495,364,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層D,16.0,中層,D,5319765,10747,495,395,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層D,26.0,高層,D,5498955,11109,495,390,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層E,6.0,低層,E,6010745,10205,589,379,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層E,16.0,中層,E,6230442,10578,589,322,3,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層E,26.0,高層,E,6315258,10722,589,325,3,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層F,6.0,低層,F,5754832,9721,592,402,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層F,16.0,中層,F,6055568,10229,592,355,3,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層F,26.0,高層,F,6156800,10400,592,335,3,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層G,6.0,低層,G,5233635,10573,495,320,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層G,16.0,中層,G,5351940,10812,495,337,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層G,26.0,高層,G,5574195,11261,495,321,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層H,6.0,低層,H,6018402,10218,589,346,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層H,16.0,中層,H,6157995,10455,589,361,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層H,26.0,高層,H,6051386,10274,589,331,3,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層J,6.0,低層,J,6014720,10160,592,331,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層J,16.0,中層,J,6188176,10453,592,361,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層J,26.0,高層,J,6256256,10568,592,346,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層K,6.0,低層,K,5314320,10736,495,339,3,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層K,16.0,中層,K,5502915,11117,495,376,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層K,26.0,高層,K,5376195,10861,495,355,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層L,6.0,低層,L,5939388,10101,588,387,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層L,16.0,中層,L,6131664,10428,588,405,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層L,26.0,高層,L,6209868,10561,588,399,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
6.0/F低層M,6.0,低層,M,6014720,10160,592,331,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
16.0/F中層M,16.0,中層,M,6188176,10453,592,361,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
26.0/F高層M,26.0,高層,M,6256256,10568,592,346,4,NTKO,"HONG SING GDN(Block 2),PO LAM RD N|康盛花園2座,寶琳北路"
