,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5/F低層A,5,低層,A,3098360.0,10684,290.0,328,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層A,12,中層,A,2844030.0,9807,290.0,391,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層A,19,高層,A,3265800.0,10886,300.0,311,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層B,5,低層,B,2571000.0,10284,250.0,395,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層B,12,中層,B,2709250.0,10837,250.0,365,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層B,19,高層,B,2651500.0,10606,250.0,374,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層C,5,低層,C,2669000.0,10676,250.0,336,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層C,12,中層,C,2749000.0,10996,250.0,347,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層C,19,高層,C,2794290.0,10958,255.0,396,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層C2,5,低層,C2,2697729.0,10497,257.0,344,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層C2,12,中層,C2,2726513.0,10609,257.0,338,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層C2,19,高層,C2,2797445.0,10885,257.0,333,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層D,5,低層,D,3082500.0,10275,300.0,343,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層D,12,中層,D,3133200.0,10444,300.0,342,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層D,19,高層,D,3222000.0,10740,300.0,335,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層E,5,低層,E,2691270.0,10554,255.0,388,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層E,12,中層,E,2795055.0,10961,255.0,378,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層E,19,高層,E,3393040.0,9296,365.0,360,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層F,5,低層,F,2644095.0,10369,255.0,375,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層F,12,中層,F,2721615.0,10673,255.0,324,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層F,19,高層,F,3300330.0,9042,365.0,336,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層G,5,低層,G,2878700.0,10468,275.0,394,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層G,12,中層,G,2916650.0,10606,275.0,394,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層G,19,高層,G,2917475.0,10609,275.0,384,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層H,5,低層,H,2525715.0,9531,265.0,384,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層H,12,中層,H,2651590.0,10006,265.0,398,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層H,19,高層,H,2731885.0,10309,265.0,395,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層J,5,低層,J,2714395.0,10243,265.0,369,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層J,12,中層,J,2789125.0,10525,265.0,379,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層J,19,高層,J,2916000.0,10800,270.0,367,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
5/F低層K,5,低層,K,3029400.0,11016,275.0,323,3,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
12/F中層K,12,中層,K,2993650.0,10886,275.0,366,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
19/F高層K,19,高層,K,3068175.0,11157,275.0,359,4,NKC,"HOOVER COURT,TAI PAK TIN ST|豪華閣,大白田街"
