,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,5230830,15851,330,371,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
13.0/F中層A,13.0,中層,A,5347650,16205,330,364,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
20.0/F高層A,20.0,高層,A,5252950,16945,310,403,4,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
6.0/F低層B,6.0,低層,B,4885290,15759,310,387,4,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
13.0/F中層B,13.0,中層,B,5308380,16086,330,365,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
20.0/F高層B,20.0,高層,B,5296660,17086,310,382,4,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
6.0/F低層C,6.0,低層,C,5118510,16782,305,333,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
13.0/F中層C,13.0,中層,C,5343295,17519,305,343,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
20.0/F高層C,20.0,高層,C,5479020,17964,305,332,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
6.0/F低層D,6.0,低層,D,4973635,16307,305,361,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
13.0/F中層D,13.0,中層,D,5062085,16597,305,414,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
20.0/F高層D,20.0,高層,D,5310355,17411,305,396,3,KMK,"HUNG WAI BLDG(Block 2),FA YUEN ST|鴻威大廈2座,花園街"
