,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,3239262,9906,327,150,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F中層A,2.0,中層,A,3239262,9906,327,150,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
3.0/F高層A,3.0,高層,A,,,,,,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F低層B,2.0,低層,B,3161268,9757,324,150,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F中層B,2.0,中層,B,3161268,9757,324,150,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
3.0/F高層B,3.0,高層,B,3179412,9813,324,106,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F低層C,2.0,低層,C,,,,,,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F中層C,2.0,中層,C,,,,,,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
3.0/F高層C,3.0,高層,C,,,,,,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F低層D,2.0,低層,D,2914056,8994,324,150,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F中層D,2.0,中層,D,2914056,8994,324,150,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
3.0/F高層D,3.0,高層,D,2930580,9045,324,95,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F低層E,2.0,低層,E,,,,,,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F中層E,2.0,中層,E,,,,,,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
3.0/F高層E,3.0,高層,E,,,,,,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F低層F,2.0,低層,F,2783310,9766,285,150,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
2.0/F中層F,2.0,中層,F,2783310,9766,285,150,1,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
3.0/F高層F,3.0,高層,F,,,,,,KYT,"KAM SEE BLDG,CHA KWO LING RD|金時樓,茶果嶺道"
