,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,4143050.0,19270.0,215.0,320,3,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
12.0/F中層A,12.0,中層,A,4274200.0,19880.0,215.0,334,3,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
19.0/F高層A,19.0,高層,A,4527685.0,21059.0,215.0,325,3,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
6.0/F低層B,6.0,低層,B,4131870.0,19218.0,215.0,318,4,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
12.0/F中層B,12.0,中層,B,4321285.0,20099.0,215.0,328,4,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
19.0/F高層B,19.0,高層,B,4513280.0,20992.0,215.0,315,4,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
6.0/F低層C,6.0,低層,C,3883425.0,19915.0,195.0,370,3,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
12.0/F中層C,12.0,中層,C,4007445.0,20551.0,195.0,362,3,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
19.0/F高層C,19.0,高層,C,4020510.0,20618.0,195.0,385,3,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
6.0/F低層D,6.0,低層,D,3855540.0,19772.0,195.0,350,4,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
12.0/F中層D,12.0,中層,D,4035720.0,20696.0,195.0,363,4,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
19.0/F高層D,19.0,高層,D,4204980.0,21564.0,195.0,387,4,HNP,"KAR FU BLDG,JAVA RD|嘉富大廈,渣華道"
