,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
10.0/F低層A,10.0,低層,A,6853682,15367,446,322,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
24.0/F中層A,24.0,中層,A,6883118,15433,446,336,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
39.0/F高層A,39.0,高層,A,7016026,15731,446,359,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
10.0/F低層B,10.0,低層,B,5878957,15113,389,330,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
24.0/F中層B,24.0,中層,B,6132196,15764,389,393,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
39.0/F高層B,39.0,高層,B,6400995,16455,389,388,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
10.0/F低層C,10.0,低層,C,6350036,16324,389,354,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
24.0/F中層C,24.0,中層,C,6434838,16542,389,350,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
39.0/F高層C,39.0,高層,C,6616112,17008,389,343,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
10.0/F低層D,10.0,低層,D,6959500,15500,449,341,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
24.0/F中層D,24.0,中層,D,7058280,15720,449,372,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
39.0/F高層D,39.0,高層,D,7274249,16201,449,403,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
10.0/F低層E,10.0,低層,E,6880027,15323,449,337,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
24.0/F中層E,24.0,中層,E,6941989,15461,449,379,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
39.0/F高層E,39.0,高層,E,7114854,15846,449,371,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
10.0/F低層F,10.0,低層,F,6376099,16391,389,402,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
24.0/F中層F,24.0,中層,F,6528976,16784,389,387,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
39.0/F高層F,39.0,高層,F,6698580,17220,389,417,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
10.0/F低層G,10.0,低層,G,6200271,15939,389,368,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
24.0/F中層G,24.0,中層,G,6454288,16592,389,389,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
39.0/F高層G,39.0,高層,G,6675629,17161,389,332,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
10.0/F低層H,10.0,低層,H,6721666,15071,446,359,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
24.0/F中層H,24.0,中層,H,6888916,15446,446,381,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
39.0/F高層H,39.0,高層,H,7168558,16073,446,403,3,NTKO,"LA CITE NOBLE(Block 5),NGAN O RD|新寶城5座,銀澳路"
