,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層A,7.0,低層,A,7437072,11337,656,98,1,NTP
14.0/F中層A,14.0,中層,A,7697504,11734,656,109,1,NTP
20.0/F高層A,20.0,高層,A,7920544,12074,656,118,1,NTP
7.0/F低層B,7.0,低層,B,6218305,11623,535,52,1,NTP
14.0/F中層B,14.0,中層,B,6436585,12031,535,59,1,NTP
20.0/F高層B,20.0,高層,B,6623300,12380,535,65,1,NTP
7.0/F低層C,7.0,低層,C,,,,,,NTP
14.0/F中層C,14.0,中層,C,,,,,,NTP
20.0/F高層C,20.0,高層,C,,,,,,NTP
7.0/F低層D,7.0,低層,D,7694324,11282,682,63,1,NTP
14.0/F中層D,14.0,中層,D,7964396,11678,682,70,1,NTP
20.0/F高層D,20.0,高層,D,8195594,12017,682,76,1,NTP
7.0/F低層E,7.0,低層,E,,,,,,NTP
14.0/F中層E,14.0,中層,E,,,,,,NTP
20.0/F高層E,20.0,高層,E,,,,,,NTP
