,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層B,2.0,低層,B,4701312,10494,448,92,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
4.0/F中層B,4.0,中層,B,4850496,10827,448,94,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
7.0/F高層B,7.0,高層,B,4660544,10403,448,184,2,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
2.0/F低層C,2.0,低層,C,4701312,10494,448,92,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
4.0/F中層C,4.0,中層,C,4850496,10827,448,94,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
7.0/F高層C,7.0,高層,C,4660544,10403,448,184,2,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
2.0/F低層D,2.0,低層,D,6373170,11181,570,80,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
4.0/F中層D,4.0,中層,D,6575520,11536,570,82,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
7.0/F高層D,7.0,高層,D,6878190,12067,570,81,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
2.0/F低層E,2.0,低層,E,3658109,8567,427,182,2,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
4.0/F中層E,4.0,中層,E,4673515,10945,427,96,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
7.0/F高層E,7.0,高層,E,4492894,10522,427,186,2,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
2.0/F低層G,2.0,低層,G,4571424,10582,432,142,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
4.0/F中層G,4.0,中層,G,4716144,10917,432,145,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
7.0/F高層G,7.0,高層,G,4615056,10683,432,235,2,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
2.0/F低層H,2.0,低層,H,3831568,8788,436,130,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
4.0/F中層H,4.0,中層,H,3957136,9076,436,133,1,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
7.0/F高層H,7.0,高層,H,4465512,10242,436,245,2,NSK,"LAKESIDE GDN(Block 3),CHUI TONG RD|翠塘花園3座,翠塘路"
