,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
11/F低層A,11,低層,A,6240465.0,12607,495.0,228,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
18/F中層A,18,中層,A,6543900.0,13220,495.0,245,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
25/F高層A,25,高層,A,6850305.0,13839,495.0,234,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
11/F低層B,11,低層,B,6759090.0,12402,545.0,242,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
18/F中層B,18,中層,B,7086635.0,13003,545.0,259,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
25/F高層B,25,高層,B,7418540.0,13612,545.0,248,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
11/F低層C,11,低層,C,7568028.0,12051,628.0,236,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
18/F中層C,18,中層,C,7934152.0,12634,628.0,253,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
25/F高層C,25,高層,C,8307812.0,13229,628.0,242,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
11/F低層D,11,低層,D,6521704.0,12838,508.0,320,4,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
18/F中層D,18,中層,D,6846316.0,13477,508.0,348,4,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
25/F高層D,25,高層,D,7187692.0,14149,508.0,347,4,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
11/F低層E,11,低層,E,6464803.0,12361,523.0,285,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
18/F中層E,18,中層,E,6778603.0,12961,523.0,304,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
25/F高層E,25,高層,E,7095018.0,13566,523.0,289,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
11/F低層F,11,低層,F,7257684.0,12343,588.0,328,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
18/F中層F,18,中層,F,7612248.0,12946,588.0,367,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
25/F高層F,25,高層,F,7964460.0,13545,588.0,339,3,KMK,"LISA HSE,NELSON ST|依利大廈,奶路臣街"
