,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,5007200.0,12518.0,400.0,320,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層A,10.0,中層,A,5236000.0,13090.0,400.0,364,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
15.0/F高層A,15.0,高層,A,5360400.0,13401.0,400.0,397,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
6.0/F低層B,6.0,低層,B,4949880.0,13026.0,380.0,325,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層B,10.0,中層,B,5000668.0,13814.0,362.0,331,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
15.0/F高層B,15.0,高層,B,5032524.0,13902.0,362.0,325,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
6.0/F低層C,6.0,低層,C,4927544.0,13612.0,362.0,384,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層C,10.0,中層,C,5140400.0,14200.0,362.0,384,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
15.0/F高層C,15.0,高層,C,5130988.0,14174.0,362.0,372,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
6.0/F低層D,6.0,低層,D,5627290.0,15545.0,362.0,364,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層D,10.0,中層,D,5652630.0,15615.0,362.0,354,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
15.0/F高層D,15.0,高層,D,5847024.0,16152.0,362.0,334,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
6.0/F低層E,6.0,低層,E,4888810.0,13505.0,362.0,394,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層E,10.0,中層,E,5027818.0,13889.0,362.0,403,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
15.0/F高層E,15.0,高層,E,5112526.0,14123.0,362.0,401,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
6.0/F低層F,6.0,低層,F,4948740.0,13023.0,380.0,364,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層F,10.0,中層,F,5096180.0,13411.0,380.0,366,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
15.0/F高層F,15.0,高層,F,5147860.0,13547.0,380.0,358,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
6.0/F低層G,6.0,低層,G,4591246.0,12683.0,362.0,320,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層G,10.0,中層,G,4807360.0,13280.0,362.0,325,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
15.0/F高層G,15.0,高層,G,4974604.0,13742.0,362.0,327,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
6.0/F低層H,6.0,低層,H,5453600.0,12832.0,425.0,378,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層H,10.0,中層,H,5444675.0,12811.0,425.0,324,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
15.0/F高層H,15.0,高層,H,5767675.0,13571.0,425.0,369,4,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
6.0/F低層I,6.0,低層,I,4592940.0,13918.0,330.0,414,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
10.0/F中層I,10.0,中層,I,4728570.0,14329.0,330.0,426,3,HCB,"MALAHON APTS,JAFFE RD|美漢大廈,謝斐道"
