,subjFloor,floorLv,unitNo,price,npsf,nfa
3.0/F低層A,3.0,低層,A,4530636,14806,306
7.0/F中層A,7.0,中層,A,4645080,15180,306
11.0/F高層A,11.0,高層,A,4739634,15489,306
3.0/F低層B,3.0,低層,B,4574088,15096,303
7.0/F中層B,7.0,中層,B,4693773,15491,303
11.0/F高層B,11.0,高層,B,4764978,15726,303
3.0/F低層C,3.0,低層,C,4515003,14901,303
7.0/F中層C,7.0,中層,C,4630446,15282,303
11.0/F高層C,11.0,高層,C,4661958,15386,303
3.0/F低層D,3.0,低層,D,4715458,14782,319
7.0/F中層D,7.0,中層,D,4835083,15157,319
11.0/F高層D,11.0,高層,D,4863474,15246,319
3.0/F低層E,3.0,低層,E,4754695,14905,319
7.0/F中層E,7.0,中層,E,4877191,15289,319
11.0/F高層E,11.0,高層,E,4907815,15385,319
3.0/F低層F,3.0,低層,F,4478259,16167,277
7.0/F中層F,7.0,中層,F,4509560,16280,277
11.0/F高層F,11.0,高層,F,4615097,16661,277
3.0/F低層G,3.0,低層,G,4215240,15612,270
7.0/F中層G,7.0,中層,G,4217325,15225,277
11.0/F高層G,11.0,高層,G,4391835,15855,277
3.0/F低層H,3.0,低層,H,4586328,14988,306
7.0/F中層H,7.0,中層,H,4683942,15307,306
11.0/F高層H,11.0,高層,H,4684554,15309,306
