,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,4956000.0,11800.0,420,382,3,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
18.0/F中層A,18.0,中層,A,5272260.0,12553.0,420,337,3,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
28.0/F高層A,28.0,高層,A,5512500.0,13125.0,420,379,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
7.0/F低層B,7.0,低層,B,5347040.0,11624.0,460,367,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
18.0/F中層B,18.0,中層,B,5431220.0,11807.0,460,369,3,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
28.0/F高層B,28.0,高層,B,5451000.0,11850.0,460,394,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
7.0/F低層C,7.0,低層,C,5100000.0,12000.0,425,355,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
18.0/F中層C,18.0,中層,C,5332900.0,12548.0,425,346,3,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
28.0/F高層C,28.0,高層,C,5501200.0,12944.0,425,333,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
7.0/F低層D,7.0,低層,D,5083680.0,12104.0,420,359,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
18.0/F中層D,18.0,中層,D,5389020.0,12831.0,420,397,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
28.0/F高層D,28.0,高層,D,5565420.0,13251.0,420,344,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
7.0/F低層E,7.0,低層,E,5887440.0,11322.0,520,348,3,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
18.0/F中層E,18.0,中層,E,6136000.0,11800.0,520,365,3,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
28.0/F高層E,28.0,高層,E,6366880.0,12244.0,520,353,3,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
7.0/F低層F,7.0,低層,F,5176500.000000001,12180.0,425,305,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
18.0/F中層F,18.0,中層,F,5433625.0,12785.0,425,325,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
28.0/F高層F,28.0,高層,F,5395800.0,12696.0,425,378,4,NTW,"NANKING HSE(TSUEN WAN CTR),Block 9,Phase 1,89 TSUEN KING CIRT|南京樓(荃灣中心),第1期,第9座,89 荃景圍"
