,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,5938800.0,11760.0,505,398,4,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
12.0/F中層A,12.0,中層,A,5989300.0,11860.0,505,325,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
17.0/F高層A,17.0,高層,A,6122620.0,12124.0,505,326,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
7.0/F低層B,7.0,低層,B,6032376.0,11969.0,504,378,4,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
12.0/F中層B,12.0,中層,B,6033384.0,11971.0,504,396,4,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
17.0/F高層B,17.0,高層,B,5934096.0,11774.0,504,355,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
7.0/F低層C,7.0,低層,C,6068370.0,11715.0,518,410,4,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
12.0/F中層C,12.0,中層,C,6266246.0,12097.0,518,327,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
17.0/F高層C,17.0,高層,C,6240864.0,12048.0,518,378,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
7.0/F低層D,7.0,低層,D,6125270.0,11645.0,526,380,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
12.0/F中層D,12.0,中層,D,6115802.0,11627.0,526,405,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
17.0/F高層D,17.0,高層,D,6381432.0,12132.0,526,333,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
7.0/F低層E,7.0,低層,E,6034399.0,11809.0,511,383,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
12.0/F中層E,12.0,中層,E,6162660.0,12060.0,511,391,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
17.0/F高層E,17.0,高層,E,6290410.0,12310.0,511,380,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
7.0/F低層F,7.0,低層,F,5996592.0,11898.0,504,326,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
12.0/F中層F,12.0,中層,F,6106968.0,12117.0,504,331,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
17.0/F高層F,17.0,高層,F,6193656.0,12289.0,504,359,3,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
7.0/F低層G,7.0,低層,G,5746900.0,11380.0,505,377,4,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
12.0/F中層G,12.0,中層,G,5790330.0,11466.0,505,386,4,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
17.0/F高層G,17.0,高層,G,5910520.0,11704.0,505,374,4,NTM,"NAPA VALLEY,TUEN FU RD|名賢居,屯富路"
