,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,8099352.0,9396.0,862.0,277,5,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層A,18.0,中層,A,8560522.0,9931.0,862.0,313,5,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層A,28.0,高層,A,8932906.0,10363.0,862.0,317,5,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層B,6.0,低層,B,5230320.0,8835.0,592.0,322,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層B,18.0,中層,B,5525136.0,9333.0,592.0,340,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層B,28.0,高層,B,5582560.0,9430.0,592.0,331,3,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層C,6.0,低層,C,6150200.0,8786.0,700.0,363,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層C,18.0,中層,C,6402199.999999999,9146.0,700.0,340,3,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層C,28.0,高層,C,6685700.000000001,9551.0,700.0,346,3,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層D,6.0,低層,D,6178200.0,8826.0,700.0,328,5,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層D,18.0,中層,D,6347600.0,9068.0,700.0,333,3,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層D,28.0,高層,D,6829200.0,9756.0,700.0,314,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層E,6.0,低層,E,5331239.999999999,9036.0,590.0,335,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層E,18.0,中層,E,5642170.000000001,9563.0,590.0,365,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層E,28.0,高層,E,5897050.0,9995.0,590.0,336,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層F,6.0,低層,F,5280665.0,8905.0,593.0,308,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層F,18.0,中層,F,5584281.0,9417.0,593.0,338,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層F,28.0,高層,F,5837492.0,9844.0,593.0,346,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層G,6.0,低層,G,5126656.0,8704.0,589.0,304,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層G,18.0,中層,G,5410554.0,9186.0,589.0,334,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層G,28.0,高層,G,5750996.0,9764.0,589.0,348,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層H,6.0,低層,H,6669600.0,9528.0,700.0,315,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層H,18.0,中層,H,7078400.0,10112.0,700.0,345,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層H,28.0,高層,H,7394100.000000001,10563.0,700.0,338,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層J,6.0,低層,J,6115900.0,8737.0,700.0,328,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層J,18.0,中層,J,6446300.0,9209.0,700.0,346,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層J,28.0,高層,J,6728399.999999999,9612.0,700.0,336,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
6.0/F低層K,6.0,低層,K,5229728.0,8834.0,592.0,334,5,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
18.0/F中層K,18.0,中層,K,5532240.0,9345.0,592.0,303,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
28.0/F高層K,28.0,高層,K,5783840.0,9770.0,592.0,310,4,HCW,"NEPTUNE TERR(Block 2),TAI MAN ST|樂翠臺2座,泰民街"
