,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
9.0/F低層A,9.0,低層,A,12838400,23600,544,346,3,KKAI
20.0/F中層A,20.0,中層,A,13490112,24798,544,346,3,KKAI
29.0/F高層A,29.0,高層,A,13636448,25067,544,353,3,KKAI
9.0/F低層B,9.0,低層,B,13516929,24621,549,347,3,KKAI
20.0/F中層B,20.0,中層,B,14292666,26034,549,347,3,KKAI
29.0/F高層B,29.0,高層,B,14476032,26368,549,348,3,KKAI
9.0/F低層C,9.0,低層,C,6117375,22245,275,346,3,KKAI
20.0/F中層C,20.0,中層,C,6317575,22973,275,346,3,KKAI
29.0/F高層C,29.0,高層,C,6931925,25207,275,347,3,KKAI
9.0/F低層D,9.0,低層,D,10240620,20730,494,345,3,KKAI
20.0/F中層D,20.0,中層,D,10562214,21381,494,346,3,KKAI
29.0/F高層D,29.0,高層,D,10824034,21911,494,346,3,KKAI
9.0/F低層E,9.0,低層,E,7825815,23085,339,346,3,KKAI
20.0/F中層E,20.0,中層,E,8233632,24288,339,346,3,KKAI
29.0/F高層E,29.0,高層,E,8402115,24785,339,346,3,KKAI
9.0/F低層F,9.0,低層,F,7846920,21797,360,398,3,KKAI
20.0/F中層F,20.0,中層,F,8466840,23519,360,380,3,KKAI
29.0/F高層F,29.0,高層,F,8580240,23834,360,366,3,KKAI
