,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,4902936,12444,394,327,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層A,12.0,中層,A,5036108,12782,394,329,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層A,17.0,高層,A,4540456,11524,394,347,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層B,7.0,低層,B,5486098,12554,437,398,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層B,12.0,中層,B,5611954,12842,437,389,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層B,17.0,高層,B,5743054,13142,437,372,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層C,7.0,低層,C,4350445,10483,415,348,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層C,12.0,中層,C,4465815,10761,415,371,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層C,17.0,高層,C,4577865,11031,415,392,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層D,7.0,低層,D,4821003,13281,363,385,3,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層D,12.0,中層,D,4541130,12510,363,343,3,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層D,17.0,高層,D,5066391,13957,363,322,3,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層E,7.0,低層,E,4029312,11992,336,358,3,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層E,12.0,中層,E,3935904,11714,336,357,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層E,17.0,高層,E,4250736,12651,336,341,3,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層F,7.0,低層,F,4295388,10902,394,365,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層F,12.0,中層,F,4400192,11168,394,380,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層F,17.0,高層,F,4501056,11424,394,390,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層G,7.0,低層,G,4661916,10668,437,338,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層G,12.0,中層,G,4784276,10948,437,360,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層G,17.0,高層,G,4902703,11219,437,380,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層H,7.0,低層,H,4380740,10556,415,335,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層H,12.0,中層,H,4496525,10835,415,358,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層H,17.0,高層,H,4609405,11107,415,378,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層I,7.0,低層,I,4637688,12776,363,325,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層I,12.0,中層,I,4763649,13123,363,327,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層I,17.0,高層,I,4879083,13441,363,315,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
7.0/F低層J,7.0,低層,J,4350528,12948,336,362,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
12.0/F中層J,12.0,中層,J,4468800,13300,336,362,4,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
17.0/F高層J,17.0,高層,J,4013781,14811,271,188,2,KSPK,"ON LEE BLDG,FUNG TAK RD|安利大廈,鳳德道"
