,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
2.0/F低層A,2.0,低層,A,10146510,10249,990,189,2,NTP
4.0/F中層A,4.0,中層,A,10241550,10345,990,191,2,NTP
5.0/F高層A,5.0,高層,A,10289070,10393,990,191,2,NTP
2.0/F低層B,2.0,低層,B,10245000,10245,1000,237,2,NTP
4.0/F中層B,4.0,中層,B,10341000,10341,1000,240,2,NTP
5.0/F高層B,5.0,高層,B,10621000,10621,1000,394,3,NTP
2.0/F低層C,2.0,低層,C,10435620,10231,1020,189,2,NTP
4.0/F中層C,4.0,中層,C,10533540,10327,1020,191,2,NTP
5.0/F高層C,5.0,高層,C,10582500,10375,1020,191,2,NTP
2.0/F低層D,2.0,低層,D,10356808,10234,1012,238,2,NTP
4.0/F中層D,4.0,中層,D,10453960,10330,1012,240,2,NTP
5.0/F高層D,5.0,高層,D,10502536,10378,1012,240,2,NTP
