,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,6007023.0,11619.0,517.0,395,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
12.0/F中層A,12.0,中層,A,6139375.0,11875.0,517.0,388,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
20.0/F高層A,20.0,高層,A,6304298.0,12194.0,517.0,394,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
5.0/F低層B,5.0,低層,B,6009270.0,11490.0,523.0,406,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
12.0/F中層B,12.0,中層,B,6251418.999999999,11953.0,523.0,399,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
20.0/F高層B,20.0,高層,B,6395243.999999999,12228.0,523.0,383,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
5.0/F低層C,5.0,低層,C,8128865.0,10435.0,779.0,316,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
12.0/F中層C,12.0,中層,C,8463056.0,10864.0,779.0,324,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
20.0/F高層C,20.0,高層,C,8704248.0,11032.0,789.0,352,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
5.0/F低層D,5.0,低層,D,8091396.0,10454.0,774.0,316,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
12.0/F中層D,12.0,中層,D,8423442.0,10883.0,774.0,323,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
20.0/F高層D,20.0,高層,D,8671110.0,11046.0,785.0,352,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
5.0/F低層E,5.0,低層,E,5882099.999999999,11204.0,525.0,348,3,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
12.0/F中層E,12.0,中層,E,6009675.0,11447.0,525.0,407,3,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
20.0/F高層E,20.0,高層,E,6506208.0,11808.0,551.0,342,3,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
5.0/F低層F,5.0,低層,F,5954000.0,11450.0,520.0,355,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
12.0/F中層F,12.0,中層,F,6107400.0,11745.0,520.0,349,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
20.0/F高層F,20.0,高層,F,6565650.0,12025.0,546.0,351,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
5.0/F低層G,5.0,低層,G,5907719.999999999,11361.0,520.0,344,3,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
12.0/F中層G,12.0,中層,G,6141719.999999999,11811.0,520.0,337,3,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
20.0/F高層G,20.0,高層,G,6481899.999999999,12230.0,530.0,333,3,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
5.0/F低層H,5.0,低層,H,5887078.999999999,11387.0,517.0,391,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
12.0/F中層H,12.0,中層,H,6088709.0,11777.0,517.0,384,4,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
20.0/F高層H,20.0,高層,H,6309520.0,11860.0,532.0,322,3,ISL,"PARK ISLAND(Phase 1A),Block 15,PAK LAI RD|珀麗灣1A期,15座,珀麗路"
