,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
15.0/F低層A,15.0,低層,A,102858456.7181702,51183.0,1933.0,221,2,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
24.0/F中層A,24.0,中層,A,116322920.70058115,57883.0,1933.0,233,2,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
33.0/F高層A,33.0,高層,A,129789394.30448203,64584.0,1933.0,211,2,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
15.0/F低層A & B,15.0,低層,A & B,281096966.8893165,42936.0,3738.0,149,3,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
24.0/F中層A & B,24.0,中層,A & B,273901942.5132368,41837.0,3738.0,172,3,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
33.0/F高層A & B,33.0,高層,A & B,309726486.0854918,47309.0,3738.0,181,3,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
15.0/F低層AB,15.0,低層,AB,281096966.8893165,42936.0,3738.0,149,3,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
24.0/F中層AB,24.0,中層,AB,270130937.92668366,41261.0,3738.0,208,3,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
33.0/F高層AB,33.0,高層,AB,305405543.3300663,46649.0,3738.0,219,3,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
15.0/F低層B,15.0,低層,B,93904325.66111048,50041.0,1805.0,220,2,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
24.0/F中層B,24.0,中層,B,106197589.93252659,56592.0,1805.0,233,2,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
33.0/F高層B,33.0,高層,B,90048020.04704237,47986.0,1805.0,130,1,HMW,"REGENCE ROYALE(Block 2),BOWEN RD|富匯豪庭2座,寶雲道"
