,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層A,7.0,低層,A,6390312,14296,447,63,1,KNTK
18.0/F中層A,18.0,中層,A,6667899,14917,447,62,1,KNTK
28.0/F高層A,28.0,高層,A,6920007,15481,447,52,1,KNTK
7.0/F低層B,7.0,低層,B,5797308,14244,407,68,1,KNTK
18.0/F中層B,18.0,中層,B,6048834,14862,407,67,1,KNTK
28.0/F高層B,28.0,高層,B,6277975,15425,407,57,1,KNTK
7.0/F低層C,7.0,低層,C,5797308,14244,407,68,1,KNTK
18.0/F中層C,18.0,中層,C,6048834,14862,407,67,1,KNTK
28.0/F高層C,28.0,高層,C,6277975,15425,407,57,1,KNTK
7.0/F低層D,7.0,低層,D,7754732,14414,538,54,1,KNTK
18.0/F中層D,18.0,中層,D,8091520,15040,538,53,1,KNTK
28.0/F高層D,28.0,高層,D,8398180,15610,538,43,1,KNTK
7.0/F低層E,7.0,低層,E,7785180,14417,540,54,1,KNTK
18.0/F中層E,18.0,中層,E,8123220,15043,540,53,1,KNTK
28.0/F高層E,28.0,高層,E,8430480,15612,540,43,1,KNTK
7.0/F低層F,7.0,低層,F,5797308,14244,407,103,1,KNTK
18.0/F中層F,18.0,中層,F,6048834,14862,407,101,1,KNTK
28.0/F高層F,28.0,高層,F,6277975,15425,407,86,1,KNTK
7.0/F低層G,7.0,低層,G,5797308,14244,407,68,1,KNTK
18.0/F中層G,18.0,中層,G,6048834,14862,407,67,1,KNTK
28.0/F高層G,28.0,高層,G,6277975,15425,407,57,1,KNTK
7.0/F低層H,7.0,低層,H,6390312,14296,447,63,1,KNTK
18.0/F中層H,18.0,中層,H,6667899,14917,447,62,1,KNTK
28.0/F高層H,28.0,高層,H,6920007,15481,447,52,1,KNTK
