,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層A,6.0,低層,A,9138656,14552,628,382,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
14.0/F中層A,14.0,中層,A,9558788,15221,628,360,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
23.0/F高層A,23.0,高層,A,9901676,15767,628,332,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
6.0/F低層B,6.0,低層,B,8658206,13831,626,365,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
14.0/F中層B,14.0,中層,B,9058220,14470,626,386,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
23.0/F高層B,23.0,高層,B,9507688,15188,626,361,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
6.0/F低層C,6.0,低層,C,9158380,14630,626,321,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
14.0/F中層C,14.0,中層,C,9563402,15277,626,327,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
23.0/F高層C,23.0,高層,C,9493916,15166,626,404,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
6.0/F低層D,6.0,低層,D,8594180,13685,628,381,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
14.0/F中層D,14.0,中層,D,9003008,14336,628,395,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
23.0/F高層D,23.0,高層,D,9247300,14725,628,326,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
6.0/F低層E,6.0,低層,E,11075697,15193,729,345,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
14.0/F中層E,14.0,中層,E,11701179,16051,729,348,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
23.0/F高層E,23.0,高層,E,12333951,16919,729,354,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
6.0/F低層F,6.0,低層,F,11671050,16098,725,381,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
14.0/F中層F,14.0,中層,F,11784150,16254,725,378,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
23.0/F高層F,23.0,高層,F,12380825,17077,725,367,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
6.0/F低層G,6.0,低層,G,11040300,15228,725,352,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
14.0/F中層G,14.0,中層,G,11216475,15471,725,360,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
23.0/F高層G,23.0,高層,G,12038625,16605,725,357,4,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
6.0/F低層H,6.0,低層,H,9950850,13650,729,327,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
14.0/F中層H,14.0,中層,H,10339407,14183,729,392,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
23.0/F高層H,23.0,高層,H,12310623,16887,729,370,3,KYT,"SCENEWAY GDN(Block 10),SCENEWAY RD|匯景花園10座,匯景道"
