,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
5.0/F低層A,5.0,低層,A,5207975.343029432,5460.0,449.0,419,3,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
7.0/F中層A,7.0,中層,A,5241359.800356543,5495.0,449.0,409,3,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
9.0/F高層A,9.0,高層,A,5280467.307511159,5536.0,449.0,409,3,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
5.0/F低層B,5.0,低層,B,4189820.560910809,5163.0,382.0,382,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
7.0/F中層B,7.0,中層,B,4150056.6237648414,5114.0,382.0,365,3,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
9.0/F高層B,9.0,高層,B,4252306.747854472,5240.0,382.0,394,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
5.0/F低層C,5.0,低層,C,4593952.003741253,5661.0,382.0,349,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
7.0/F中層C,7.0,中層,C,4546884.486303169,5603.0,382.0,355,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
9.0/F高層C,9.0,高層,C,4585836.91452779,5651.0,382.0,358,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
5.0/F低層D,5.0,低層,D,5219421.442684442,5472.0,449.0,389,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
7.0/F中層D,7.0,中層,D,5240405.958718626,5494.0,449.0,333,3,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
9.0/F高層D,9.0,高層,D,5325297.864493281,5583.0,449.0,396,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
5.0/F低層E,5.0,低層,E,4510387.828531628,5801.0,366.0,365,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
7.0/F中層E,7.0,中層,E,4486284.738946301,5770.0,366.0,372,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
9.0/F高層E,9.0,高層,E,4520495.575777086,5814.0,366.0,379,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
5.0/F低層F,5.0,低層,F,4830232.81072507,5642.0,403.0,390,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
7.0/F中層F,7.0,中層,F,4865333.758126652,5683.0,403.0,395,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
9.0/F高層F,9.0,高層,F,4856772.551443339,5673.0,403.0,399,4,NTW,"SHUI SANG BLDG,SHIU WO ST|瑞生樓,兆和街"
