,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3.0/F低層A1,3.0,低層,A1,3218366.3789781444,7126.0,430.0,351,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F中層A1,4.0,中層,A1,3234173.6794642843,7161.0,430.0,351,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F高層A1,4.0,高層,A1,3234173.6794642843,7161.0,430.0,351,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
3.0/F低層A2,3.0,低層,A2,3318015.391178978,7099.0,445.0,355,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F中層A2,4.0,中層,A2,3334374.1091239373,7134.0,445.0,355,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F高層A2,4.0,高層,A2,3334374.1091239373,7134.0,445.0,355,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
3.0/F低層A3,3.0,低層,A3,3041723.734741662,7240.0,400.0,388,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F中層A3,4.0,中層,A3,3053067.1796087925,7267.0,400.0,321,3,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F高層A3,4.0,高層,A3,3053067.1796087925,7267.0,400.0,321,3,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
3.0/F低層A4,3.0,低層,A4,2864892.0330907274,7372.0,370.0,331,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F中層A4,4.0,中層,A4,2879270.8997787847,7409.0,370.0,333,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F高層A4,4.0,高層,A4,2879270.8997787847,7409.0,370.0,333,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
3.0/F低層B2,3.0,低層,B2,3318015.391178978,7099.0,445.0,355,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F中層B2,4.0,中層,B2,3334374.1091239373,7134.0,445.0,355,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F高層B2,4.0,高層,B2,3334374.1091239373,7134.0,445.0,355,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
3.0/F低層B3,3.0,低層,B3,2864892.0330907274,7372.0,370.0,331,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F中層B3,4.0,中層,B3,2879270.8997787847,7409.0,370.0,333,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F高層B3,4.0,高層,B3,2879270.8997787847,7409.0,370.0,333,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
3.0/F低層C1,3.0,低層,C1,3318482.783120263,7100.0,445.0,335,3,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F中層C1,4.0,中層,C1,3341852.3801844902,7150.0,445.0,397,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F高層C1,4.0,高層,C1,3341852.3801844902,7150.0,445.0,397,4,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
3.0/F低層C2,3.0,低層,C2,3303058.849057873,7067.0,445.0,334,3,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F中層C2,4.0,中層,C2,3325961.0541808154,7116.0,445.0,381,3,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
4.0/F高層C2,4.0,高層,C2,3325961.0541808154,7116.0,445.0,381,3,NYL,"SIU FUNG BLDG,KAU YUK RD|兆豐樓,教育路"
