,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
8.0/F低層A,8.0,低層,A,5951430.0,13374.0,445.0,380,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
14.0/F中層A,14.0,中層,A,6145895.0,13811.0,445.0,364,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
21.0/F高層A,21.0,高層,A,6348370.0,14266.0,445.0,351,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
8.0/F低層B,8.0,低層,B,5355375.0,14281.0,375.0,377,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
14.0/F中層B,14.0,中層,B,5544000.0,14784.0,375.0,397,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
21.0/F高層B,21.0,高層,B,5693250.0,15182.0,375.0,327,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
8.0/F低層C,8.0,低層,C,5739750.0,15306.0,375.0,381,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
14.0/F中層C,14.0,中層,C,5473875.0,14597.0,375.0,327,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
21.0/F高層C,21.0,高層,C,5695125.0,15187.0,375.0,324,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
8.0/F低層D,8.0,低層,D,6561525.0,14745.0,445.0,380,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
14.0/F中層D,14.0,中層,D,6787585.0,15253.0,445.0,390,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
21.0/F高層D,21.0,高層,D,6979380.0,15684.0,445.0,359,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
8.0/F低層E,8.0,低層,E,6141000.0,13800.0,445.0,384,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
14.0/F中層E,14.0,中層,E,6517470.0,14646.0,445.0,385,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
21.0/F高層E,21.0,高層,E,6414675.0,14415.0,445.0,368,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
8.0/F低層F,8.0,低層,F,5227500.0,13940.0,375.0,318,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
14.0/F中層F,14.0,中層,F,5473875.0,14597.0,375.0,327,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
21.0/F高層F,21.0,高層,F,5695125.0,15187.0,375.0,324,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
8.0/F低層G,8.0,低層,G,5188500.0,13836.0,375.0,380,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
14.0/F中層G,14.0,中層,G,5277375.0,14073.0,375.0,370,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
21.0/F高層G,21.0,高層,G,5535375.0,14761.0,375.0,389,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
8.0/F低層H,8.0,低層,H,6337690.0,14242.0,445.0,373,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
14.0/F中層H,14.0,中層,H,6310545.0,14181.0,445.0,354,3,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
21.0/F高層H,21.0,高層,H,6417345.0,14421.0,445.0,356,4,NTP,"TAI PO CTR(Phase 4),Block 10,ON PONG RD|大埔中心4期,10座,安邦路"
