,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
2.0/F低層1,2.0,低層,1,8432424,9828,858,83,1,NTP
2.0/F中層1,2.0,中層,1,8432424,9828,858,83,1,NTP
3.0/F高層1,3.0,高層,1,8471892,9874,858,84,1,NTP
2.0/F低層2,2.0,低層,2,8322102,9837,846,83,1,NTP
2.0/F中層2,2.0,中層,2,8322102,9837,846,83,1,NTP
3.0/F高層2,3.0,高層,2,8361018,9883,846,84,1,NTP
2.0/F低層3,2.0,低層,3,8451220,9827,860,82,1,NTP
2.0/F中層3,2.0,中層,3,8451220,9827,860,82,1,NTP
3.0/F高層3,3.0,高層,3,8490780,9873,860,83,1,NTP
2.0/F低層4,2.0,低層,4,8544723,10641,803,280,2,NTP
2.0/F中層4,2.0,中層,4,8544723,10641,803,280,2,NTP
3.0/F高層4,3.0,高層,4,8433106,10502,803,221,2,NTP
