,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,2620080,7278,360,163,2,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
5.0/F中層A,5.0,中層,A,2656440,7379,360,168,2,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
8.0/F高層A,8.0,高層,A,2644920,7347,360,320,3,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
2.0/F低層B,2.0,低層,B,2860200,7945,360,71,1,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
5.0/F中層B,5.0,中層,B,2903400,8065,360,72,1,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
8.0/F高層B,8.0,高層,B,2946960,8186,360,69,1,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
2.0/F低層C,2.0,低層,C,2635920,8368,315,118,1,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
5.0/F中層C,5.0,中層,C,2675925,8495,315,119,1,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
8.0/F高層C,8.0,高層,C,2498580,7932,315,265,2,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
2.0/F低層D,2.0,低層,D,2599065,8251,315,167,2,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
5.0/F中層D,5.0,中層,D,2638125,8375,315,172,2,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
8.0/F高層D,8.0,高層,D,2676870,8498,315,171,2,KKT,"TAK LEE BLDG,WAN HON ST|德利大廈,雲漢街"
