,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
20/F低層A,20,低層,A,19448325.0,21255,915.0,351,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
38/F中層A,38,中層,A,21300285.0,23279,915.0,401,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
55/F高層A,55,高層,A,24038880.0,26272,915.0,412,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
20/F低層B,20,低層,B,16859376.0,21726,776.0,406,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
38/F中層B,38,中層,B,18116496.0,23346,776.0,348,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
55/F高層B,55,高層,B,19777912.0,25487,776.0,370,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
20/F低層C,20,低層,C,16036816.0,20666,776.0,343,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
38/F中層C,38,中層,C,25429306.0,24058,1057.0,385,4,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
55/F高層C,55,高層,C,19299896.0,24871,776.0,385,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
20/F低層D,20,低層,D,19082492.0,20878,914.0,360,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
38/F中層D,38,中層,D,20827318.0,22787,914.0,372,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
55/F高層D,55,高層,D,22702846.0,24839,914.0,401,4,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
20/F低層E,20,低層,E,26180128.0,21424,1222.0,341,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
38/F中層E,38,中層,E,29696220.0,23910,1242.0,431,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
55/F高層E,55,高層,E,31485942.0,25351,1242.0,380,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
20/F低層F,20,低層,F,31190376.0,23919,1304.0,384,4,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
38/F中層F,38,中層,F,31443139.0,24817,1267.0,386,4,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
55/F高層F,55,高層,F,36902642.0,29126,1267.0,380,4,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
20/F低層G,20,低層,G,25161636.0,22812,1103.0,341,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
38/F中層G,38,中層,G,28693472.0,25528,1124.0,392,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
55/F高層G,55,高層,G,31546184.0,28066,1124.0,378,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
20/F低層H,20,低層,H,26307398.0,23426,1123.0,376,4,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
38/F中層H,38,中層,H,30557121.0,26781,1141.0,328,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
55/F高層H,55,高層,H,32169354.0,28194,1141.0,354,3,HPFL,"THE BELCHER'S(Phase 2),Block 6,POK FU LAM RD|寶翠園2期,6座,薄扶林道"
