,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
3/F低層B01,3,低層,B01,7171875.0,16875,425.0,329,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層B01,8,中層,B01,7962800.0,18736,425.0,321,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層B01,11,高層,B01,7977675.0,18771,425.0,389,4,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層B02,3,低層,B02,6370264.0,16376,389.0,420,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層B02,8,中層,B02,6455844.0,16596,389.0,426,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層B02,11,高層,B02,6697802.0,17218,389.0,426,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層B03,3,低層,B03,6675240.0,17160,389.0,367,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層B03,8,中層,B03,6813724.0,17516,389.0,364,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層B03,11,高層,B03,6900860.0,17740,389.0,357,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層B05,3,低層,B05,6616501.0,17009,389.0,383,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層B05,8,中層,B05,6607554.0,16986,389.0,377,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層B05,11,高層,B05,6695468.0,17212,389.0,370,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層B06,3,低層,B06,6623503.0,17027,389.0,339,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層B06,8,中層,B06,6676796.0,17164,389.0,334,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層B06,11,高層,B06,6760431.0,17379,389.0,334,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層B07,3,低層,B07,6560485.0,16865,389.0,339,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層B07,8,中層,B07,6852235.0,17615,389.0,326,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層B07,11,高層,B07,6768989.0,17401,389.0,334,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層B08,3,低層,B08,7146319.0,18371,389.0,390,4,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層B08,8,中層,B08,7247459.0,18631,389.0,400,4,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層B08,11,高層,B08,7360658.0,18922,389.0,391,4,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層B09,3,低層,B09,6764870.0,16870,401.0,336,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層B09,8,中層,B09,7243263.0,18063,401.0,323,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層B09,11,高層,B09,6818604.0,17004,401.0,330,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層C01,3,低層,C01,7644475.0,17987,425.0,426,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層C01,8,中層,C01,7861650.0,18498,425.0,393,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層C01,11,高層,C01,7894375.0,18575,425.0,384,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層C02,3,低層,C02,6596850.0,16575,398.0,369,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層C02,8,中層,C02,6752866.0,16967,398.0,394,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層C02,11,高層,C02,7059326.0,17737,398.0,368,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層C03,3,低層,C03,6474174.0,16226,399.0,336,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層C03,8,中層,C03,6744696.0,16904,399.0,331,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層C03,11,高層,C03,6583500.0,16500,399.0,331,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層C05,3,低層,C05,4895850.0,19275,254.0,317,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層C05,8,中層,C05,5011928.0,19732,254.0,317,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層C05,11,高層,C05,5088382.0,20033,254.0,311,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層C06,3,低層,C06,4592700.0,18225,252.0,168,2,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層C06,8,中層,C06,4681908.0,18579,252.0,168,2,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
11/F高層C06,11,高層,C06,5046048.0,20024,252.0,312,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
3/F低層C07,3,低層,C07,4853178.0,19107,254.0,317,3,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
8/F中層C07,8,中層,C07,4704588.0,18522,254.0,167,2,NST,"THE MET. ACAPPELLA(Block W2),TAI PO RD TAI WAI|薈蕎W2座,大埔公路大圍段"
