,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
1.0/F低層A,1.0,低層,A,5617449.0,10579.0,531.0,234,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F中層A,2.0,中層,A,5651964.0,10644.0,531.0,235,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F高層A,2.0,高層,A,5651964.0,10644.0,531.0,235,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
1.0/F低層B,1.0,低層,B,3922727.9999999995,13434.0,292.0,194,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F中層B,2.0,中層,B,3941999.9999999995,13500.0,292.0,195,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F高層B,2.0,高層,B,3941999.9999999995,13500.0,292.0,195,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
1.0/F低層C,1.0,低層,C,7849218.0,12701.0,618.0,328,4,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F中層C,2.0,中層,C,7687301.999999999,12439.0,618.0,359,4,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F高層C,2.0,高層,C,7687301.999999999,12439.0,618.0,359,4,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
1.0/F低層D,1.0,低層,D,5862363.0,10231.0,573.0,386,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F中層D,2.0,中層,D,6061767.0,10579.0,573.0,372,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F高層D,2.0,高層,D,6061767.0,10579.0,573.0,372,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
1.0/F低層E,1.0,低層,E,4658765.0,11915.0,391.0,363,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F中層E,2.0,中層,E,4670886.0,11946.0,391.0,401,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F高層E,2.0,高層,E,4670886.0,11946.0,391.0,401,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
1.0/F低層F,1.0,低層,F,5711125.0,10675.0,535.0,280,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F中層F,2.0,中層,F,5745365.0,10739.0,535.0,281,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F高層F,2.0,高層,F,5745365.0,10739.0,535.0,281,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
1.0/F低層G,1.0,低層,G,5608460.0,10582.0,530.0,234,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F中層G,2.0,中層,G,5642380.0,10646.0,530.0,235,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
2.0/F高層G,2.0,高層,G,5642380.0,10646.0,530.0,235,3,NYL,"THE PARKHILL(Block 6),TONG YAN SAN TSUEN RD|柏(氵喬)6座,唐人新村路"
