,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6/F低層A,6,低層,A,3478761.0,8109,429.0,124,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
11/F中層A,11,中層,A,3538392.0,8248,429.0,124,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
17/F高層A,17,高層,A,3610035.0,8415,429.0,124,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
6/F低層B,6,低層,B,3868241.0,7943,487.0,176,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
11/F中層B,11,中層,B,3935447.0,8081,487.0,173,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
17/F高層B,17,高層,B,4016289.0,8247,487.0,170,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
6/F低層C,6,低層,C,3931162.0,7831,502.0,141,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
11/F中層C,11,中層,C,3999936.0,7968,502.0,141,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
17/F高層C,17,高層,C,4082264.0,8132,502.0,141,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
6/F低層D,6,低層,D,3906564.0,7782,502.0,177,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
11/F中層D,11,中層,D,3975840.0,7920,502.0,180,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
17/F高層D,17,高層,D,4059172.0,8086,502.0,183,2,NTM,"TOP COURT,TAK CHING COURT|桃苑,德政圍"
