,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,5288556,15197,348,336,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
15.0/F中層A,15.0,中層,A,5455944,15678,348,343,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
23.0/F高層A,23.0,高層,A,5688756,16347,348,337,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
7.0/F低層B,7.0,低層,B,5429844,15603,348,367,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
15.0/F中層B,15.0,中層,B,5551992,15954,348,356,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
23.0/F高層B,23.0,高層,B,5741652,16499,348,345,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
7.0/F低層C,7.0,低層,C,7342928,13424,547,341,5,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
15.0/F中層C,15.0,中層,C,7538207,13781,547,343,5,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
23.0/F高層C,23.0,高層,C,7812801,14283,547,340,5,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
7.0/F低層D,7.0,低層,D,7331988,13404,547,321,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
15.0/F中層D,15.0,中層,D,7601112,13896,547,312,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
23.0/F高層D,23.0,高層,D,7802408,14264,547,303,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
7.0/F低層E,7.0,低層,E,5271504,15148,348,365,3,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
15.0/F中層E,15.0,中層,E,5449332,15659,348,380,3,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
23.0/F高層E,23.0,高層,E,5594448,16076,348,380,3,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
7.0/F低層F,7.0,低層,F,5314656,15272,348,359,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
15.0/F中層F,15.0,中層,F,5482392,15754,348,376,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
23.0/F高層F,23.0,高層,F,5648040,16230,348,401,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
7.0/F低層G,7.0,低層,G,7224229,13207,547,343,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
15.0/F中層G,15.0,中層,G,7433730,13590,547,349,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
23.0/F高層G,23.0,高層,G,7670034,14022,547,342,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
7.0/F低層H,7.0,低層,H,7270177,13291,547,328,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
15.0/F中層H,15.0,中層,H,7538207,13781,547,321,4,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
23.0/F高層H,23.0,高層,H,7668393,14019,547,336,3,NTY,"TSING YI GDN(Block 3),TSING LUK ST|青怡花園3座,青綠街"
