,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層A,2.0,低層,A,14189130.0,12783.0,1110.0,293,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
5.0/F中層A,5.0,中層,A,13452090.0,12119.0,1110.0,369,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
7.0/F高層A,7.0,高層,A,14502150.0,13065.0,1110.0,296,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
2.0/F低層B,2.0,低層,B,11625382.0,11254.0,1033.0,244,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
5.0/F中層B,5.0,中層,B,11745210.0,11370.0,1033.0,247,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
7.0/F高層B,7.0,高層,B,11825784.0,11448.0,1033.0,249,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
2.0/F低層C,2.0,低層,C,11528279.999999998,11160.0,1033.0,289,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
5.0/F中層C,5.0,中層,C,11650174.000000002,11278.0,1033.0,294,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
7.0/F高層C,7.0,高層,C,11381594.0,11018.0,1033.0,377,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
2.0/F低層D,2.0,低層,D,12802476.0,11094.0,1154.0,363,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
5.0/F中層D,5.0,中層,D,13110594.0,11361.0,1154.0,386,4,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
7.0/F高層D,7.0,高層,D,13200606.0,11439.0,1154.0,386,4,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
2.0/F低層E,2.0,低層,E,14349743.999999998,12744.0,1126.0,244,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
5.0/F中層E,5.0,中層,E,14538911.999999998,12912.0,1126.0,243,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
7.0/F高層E,7.0,高層,E,14662772.0,13022.0,1126.0,241,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
2.0/F低層F,2.0,低層,F,11625382.0,11254.0,1033.0,244,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
5.0/F中層F,5.0,中層,F,11745210.0,11370.0,1033.0,247,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
7.0/F高層F,7.0,高層,F,11586128.0,11216.0,1033.0,329,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
2.0/F低層G,2.0,低層,G,11625382.0,11254.0,1033.0,244,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
5.0/F中層G,5.0,中層,G,11745210.0,11370.0,1033.0,247,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
7.0/F高層G,7.0,高層,G,11825784.0,11448.0,1033.0,249,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
2.0/F低層H,2.0,低層,H,14110929.0,12747.0,1107.0,324,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
5.0/F中層H,5.0,中層,H,14295798.000000002,12914.0,1107.0,321,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
7.0/F高層H,7.0,高層,H,14418675.0,13025.0,1107.0,317,3,NMOS,"VILLA CONCERTO(Block 5,SYMPHONY BAY),SAI SHA RD|帝琴灣,5座(凱弦居),西沙路"
