,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
2.0/F低層5,2.0,低層,5,7413486,12651,586,150,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
3.0/F中層5,3.0,中層,5,7463296,12736,586,95,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
4.0/F高層5,4.0,高層,5,7513106,12821,586,93,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
2.0/F低層6,2.0,低層,6,11034384,15854,696,86,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
3.0/F中層6,3.0,中層,6,11108160,15960,696,85,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
4.0/F高層6,4.0,高層,6,11181936,16066,696,84,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
2.0/F低層7,2.0,低層,7,10265088,15648,656,237,2,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
3.0/F中層7,3.0,中層,7,10952370,15873,690,213,2,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
4.0/F高層7,4.0,高層,7,10385792,15832,656,281,2,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
2.0/F低層8,2.0,低層,8,13736968,15826,868,74,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
3.0/F中層8,3.0,中層,8,13828976,15932,868,73,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
4.0/F高層8,4.0,高層,8,13920984,16038,868,72,1,HHV,"VILLAGE COURT(Block B),VILLAGE TERR|山村閣B座,山村臺"
