,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
7.0/F低層A,7.0,低層,A,4767890,16441,290,343,4,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
14.0/F中層A,14.0,中層,A,4938700,17030,290,366,4,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
20.0/F高層A,20.0,高層,A,5089790,17551,290,366,4,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
7.0/F低層B,7.0,低層,B,5166150,16665,310,310,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
14.0/F中層B,14.0,中層,B,5365480,17308,310,320,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
20.0/F高層B,20.0,高層,B,5539700,17870,310,318,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
7.0/F低層C,7.0,低層,C,4305750,17223,250,349,4,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
14.0/F中層C,14.0,中層,C,4510750,18043,250,208,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
20.0/F高層C,20.0,高層,C,4657000,18628,250,206,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
7.0/F低層D,7.0,低層,D,5004300,16681,300,231,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
14.0/F中層D,14.0,中層,D,5193300,17311,300,240,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
20.0/F高層D,20.0,高層,D,5359800,17866,300,238,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
7.0/F低層E,7.0,低層,E,4886100,16287,300,318,4,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
14.0/F中層E,14.0,中層,E,5062800,16876,300,338,4,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
20.0/F高層E,20.0,高層,E,5213100,17377,300,345,4,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
7.0/F低層F,7.0,低層,F,4877510,16819,290,229,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
14.0/F中層F,14.0,中層,F,5062240,17456,290,238,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
20.0/F高層F,20.0,高層,F,5224350,18015,290,236,3,HSKW,"WAH PO BLDG,SHAU KEI WAN RD|華寶大廈,筲箕灣道"
