,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
10.0/F低層1,10.0,低層,1,3582718,6467,554,331,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層1,20.0,中層,1,3716786,6709,554,348,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層1,30.0,高層,1,3833126,6919,554,327,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
10.0/F低層10,10.0,低層,10,2664244,6644,401,259,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層10,20.0,中層,10,2758479,6879,401,282,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層10,30.0,高層,10,2842288,7088,401,277,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
10.0/F低層3,10.0,低層,3,2725597,6797,401,191,3,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層3,20.0,中層,3,2831461,7061,401,199,3,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層3,30.0,高層,3,2925696,7296,401,185,3,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
10.0/F低層4,10.0,低層,4,4077690,6322,645,278,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層4,20.0,中層,4,4230555,6559,645,290,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層4,30.0,高層,4,4366650,6770,645,266,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
10.0/F低層5,10.0,低層,5,2862338,7138,401,355,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層5,20.0,中層,5,2964192,7392,401,377,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層5,30.0,高層,5,3054818,7618,401,338,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
10.0/F低層6,10.0,低層,6,3573854,6451,554,331,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層6,20.0,中層,6,3711246,6699,554,338,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層6,30.0,高層,6,3830910,6915,554,309,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
10.0/F低層7,10.0,低層,7,3599338,6497,554,291,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層7,20.0,中層,7,3735622,6743,554,303,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層7,30.0,高層,7,3853624,6956,554,279,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
10.0/F低層8,10.0,低層,8,2755271,6871,401,341,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層8,20.0,中層,8,2831461,7061,401,199,3,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層8,30.0,高層,8,2925696,7296,401,185,3,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
10.0/F低層9,10.0,低層,9,4124130,6394,645,319,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
20.0/F中層9,20.0,中層,9,4277640,6632,645,333,4,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
30.0/F高層9,30.0,高層,9,4617555,7159,645,350,3,NSS,"YAN YUET HSE,YAN SHING COURT,WAH MING RD|欣悅閣(欣盛苑),華明路"
