,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district,final_address
6.0/F低層1,6.0,低層,1,6730956.0,12676.0,531.0,371,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
17.0/F中層1,17.0,中層,1,7228503.0,13613.0,531.0,381,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
28.0/F高層1,28.0,高層,1,7595424.0,14304.0,531.0,326,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
6.0/F低層2,6.0,低層,2,6728150.0,12233.0,550.0,378,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
17.0/F中層2,17.0,中層,2,7013050.0,12751.0,550.0,372,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
28.0/F高層2,28.0,高層,2,7526200.0,13684.0,550.0,359,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
6.0/F低層3,6.0,低層,3,5788020.0,13781.0,420.0,358,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
17.0/F中層3,17.0,中層,3,6062700.0,14435.0,420.0,397,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
28.0/F高層3,28.0,高層,3,6342420.0,15101.0,420.0,380,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
6.0/F低層4,6.0,低層,4,5707600.0,14269.0,400.0,323,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
17.0/F中層4,17.0,中層,4,6074400.0,15186.0,400.0,367,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
28.0/F高層4,28.0,高層,4,6330000.0,15825.0,400.0,397,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
6.0/F低層5,6.0,低層,5,6899283.0,12993.0,531.0,317,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
17.0/F中層5,17.0,中層,5,7340544.0,13824.0,531.0,323,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
28.0/F高層5,28.0,高層,5,7593831.0,14301.0,531.0,361,5,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
6.0/F低層6,6.0,低層,6,7084550.0,12881.0,550.0,314,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
17.0/F中層6,17.0,中層,6,7531700.0,13694.0,550.0,321,4,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
28.0/F高層6,28.0,高層,6,7793500.000000001,14170.0,550.0,357,5,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
6.0/F低層7,6.0,低層,7,5875800.0,13990.0,420.0,398,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
17.0/F中層7,17.0,中層,7,6057660.0,14423.0,420.0,447,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
28.0/F高層7,28.0,高層,7,6389040.0,15212.0,420.0,365,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
6.0/F低層8,6.0,低層,8,5679200.0,14198.0,400.0,419,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
17.0/F中層8,17.0,中層,8,6137200.0,15343.0,400.0,339,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
28.0/F高層8,28.0,高層,8,6190800.0,15477.0,400.0,320,3,KKT,"YUE HONG HSE(Block A,HONG TIN COURT),KAI TIN RD|康田苑,A座(裕康閣),啟田道"
