,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,3899970.0,11470.5,4,15599880.0,45882.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",4144260.0,12189.0,340.0,3494860.0,10279.0,340.0,4391780.0,12917.0,340.0,3568980.0,10497.0,340.0,-0.17543670476601247,-0.17543670476601247
2019-11-15,4729740.0,13911.0,4,18918960.0,55644.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",5030640.0,14796.0,340.0,4236400.0,12460.0,340.0,5325760.0,15664.0,340.0,4326160.0,12724.0,340.0,0.03995813553620153,0.03995813553620153
2019-10-15,4548010.0,13376.5,4,18192040.0,53506.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",4841940.0,14241.0,340.0,4071500.0,11975.0,340.0,5120400.0,15060.0,340.0,4158200.0000000005,12230.0,340.0,-0.059797220123354866,-0.059797220123354866
2019-9-15,4837265.0,14227.25,4,19349060.0,56909.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",5154400.0,15160.0,340.0,4328540.0,12731.0,340.0,5445780.0,16017.0,340.0,4420340.0,13001.0,340.0,0.09240810058546889,0.09240810058546889
2019-8-15,4428075.0,13023.75,4,17712300.0,52095.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",4722600.0,13890.0,340.0,3960320.0,11648.0,340.0,4984740.0,14661.0,340.0,4044640.0,11896.0,340.0,-0.03731012307351145,-0.03731012307351145
2019-7-15,4599690.0,13528.5,4,18398760.0,54114.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",4909940.0,14441.0,340.0,4112300.0,12095.0,340.0,5177180.0,15227.0,340.0,4199340.0,12351.0,340.0,-0.0019734051382305218,-0.0019734051382305218
2019-6-15,4608785.0,13555.25,4,18435140.0,54221.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",4922520.0,14478.0,340.0,4119780.0000000005,12117.0,340.0,5185680.0,15252.0,340.0,4207160.0,12374.0,340.0,-0.034268412147119065,-0.034268412147119065
2019-5-15,4772325.0,14036.25,4,19089300.0,56145.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",5100340.0,15001.0,340.0,4265300.0,12545.0,340.0,5367920.0,15788.0,340.0,4355740.0,12811.0,340.0,0.020576954538018333,0.020576954538018333
2019-4-15,4676105.0,13753.25,4,18704420.0,55013.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",5000380.0,14707.0,340.0,4178600.0,12290.0,340.0,5258100.0,15465.0,340.0,4267340.0,12551.0,340.0,0.004106738701905588,0.004106738701905588
2019-3-15,4656980.0,13697.0,4,18627920.0,54788.0,1360,"KAM KEY MANS,SHAU KEI WAN MAIN ST E|金基大廈,筲箕灣東大街",5180240.0,15236.0,340.0,4100740.0,12061.0,340.0,5159160.0,15174.0,340.0,4187780.0,12317.0,340.0,0.04577209391105175,0.04577209391105175
