,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5812107.710476348,9040.5,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7044409.0,13367.0,527.0,5666988.957610729,7618.0,477.0,7189320.103138495,7645.0,603.0,3347712.7811561674,7532.0,285.0,,0.041450084117911956,-0.017390359219607632
2020-11-15,5580783.75441209,9200.5,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",6762464.0,12832.0,527.0,5440388.738131067,8009.0,477.0,6906668.968148585,8043.0,603.0,3213613.3113687113,7918.0,285.0,,-0.10358024217070494,-0.019188742604338782
2020-10-15,6225636.712789676,9380.5,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7542424.0,14312.0,527.0,6068073.055268194,7754.0,477.0,7708553.324943751,7792.0,603.0,3583496.470946759,7664.0,285.0,,0.023055921414366853,-0.0063292815338577
2020-9-15,6085333.736383424,9440.25,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7371149.0,13987.0,527.0,5930226.031357505,7941.0,477.0,7538239.03088606,7985.0,603.0,3501720.883290131,7848.0,285.0,,0.10516373653621591,-0.08253559453812143
2020-8-15,5506273.446372721,10289.5,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",6647051.0,12613.0,527.0,5347965.782552726,8305.0,477.0,6872456.760639648,12033.0,603.0,3157620.24229851,8207.0,285.0,,-0.06990789295181343,0.014518474697429173
2020-7-15,5920137.806402706,10142.25,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7149809.0,13567.0,527.0,5752699.9329425,8095.0,477.0,7382080.862910034,10909.0,603.0,3395961.4297582884,7998.0,285.0,,0.018359057531729617,-0.025064885129289616
2020-6-15,5813409.09438344,10403.0,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7093420.0,13460.0,527.0,5477342.00643449,9340.0,477.0,7313974.829251518,11104.0,603.0,3368899.541847754,7708.0,285.0,,-0.1896121980550981,-0.18173594997443665
2020-5-15,7173613.769150356,12713.5,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7716861.0,14643.0,527.0,8280176.853547972,12225.0,477.0,7945962.001149482,10589.0,603.0,4751455.221903968,13397.0,285.0,,0.0738657240072007,0.11414424677942336
2020-4-15,6680177.613250885,11411.0,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7443875.0,14125.0,527.0,7989513.300960026,12053.0,477.0,7656663.889956912,11052.0,603.0,3630658.262086599,8414.0,285.0,,0.018771303227304026,0.049311478424791444
2020-3-15,6557092.442719141,10874.75,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7304220.0,13860.0,527.0,7847532.208883359,11998.0,477.0,7510430.488725098,9919.0,603.0,3566187.07326811,7722.0,285.0,,-0.0023093848696421615,-0.0176377597109304
2020-2-15,6572270.344411723,11070.0,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7318976.0,13888.0,527.0,7870881.422074985,12858.0,477.0,7522459.422033848,10289.0,603.0,3576764.533538059,7245.0,285.0,,0.10888900966665016,-0.009728279100972848
2020-1-15,5926896.458634263,11178.75,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",6712399.0,12737.0,527.0,6815376.0,14288.0,477.0,6896149.916508183,10560.0,603.0,3283660.9180288673,7130.0,285.0,,0.0022443778637628586,0.012866106417197098
2019-12-15,5913624.051717971,11036.75,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",6695008.0,12704.0,527.0,6804882.0,14266.0,477.0,6875820.682713829,10692.0,603.0,3278785.524158057,6485.0,285.0,,-0.09866604172324112,-0.07800426047366438
2019-11-15,6560968.881083881,11970.5,"CHUEN FUNG HSE,JOHNSTON RD|全豐樓,莊士敦道",7425430.0,14090.0,527.0,7554726.0,15838.0,477.0,7623626.270901873,10835.0,603.0,3640093.25343365,7119.0,285.0,,-0.02701129799573654,-0.012396097601221068
