,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,935436.5224135318,4669.0,273 CASTLE PEAK RD|273 青山道,1068804.622958699,4157.0,202.0,802068.4218683647,5181.0,141.0,,-0.022243983801557232,0.02705675318961731
2020-11-15,956717.7362411423,4546.0,273 CASTLE PEAK RD|273 青山道,1093084.8302717234,3928.0,202.0,820350.6422105612,5164.0,141.0,,0.008557049504935632,-0.0037256191102345015
2020-10-15,948600.5146766467,4563.0,273 CASTLE PEAK RD|273 青山道,1083732.4895142221,3842.0,202.0,813468.5398390712,5284.0,141.0,,-0.011425878089264985,0.02114803625377637
2020-9-15,959564.3803048106,4468.5,273 CASTLE PEAK RD|273 青山道,1096236.0390249374,3899.0,202.0,822892.7215846839,5038.0,141.0,,-0.005924410196618157,0.03870292887029292
2020-8-15,965283.1134246066,4302.0,273 CASTLE PEAK RD|273 青山道,1102682.0037840349,3613.0,202.0,827884.2230651784,4991.0,141.0,,-0.008641370237607915,-0.021939297487779896
2020-7-15,973697.1913544191,4398.5,273 CASTLE PEAK RD|273 青山道,1112281.5081104706,3701.0,202.0,835112.8745983675,5096.0,141.0,,-0.01591749819297994,-0.020160392069503263
2020-6-15,989446.7075336357,4489.0,273 CASTLE PEAK RD|273 青山道,1130098.1250504411,3694.0,202.0,848795.2900168302,5284.0,141.0,,0.030798246432620413,0.03207265202896892
2020-5-15,959883.9646438148,4349.5,273 CASTLE PEAK RD|273 青山道,1096245.3632556556,3520.0,202.0,823522.5660319739,5179.0,141.0,,-0.02572413489286074,-0.0011482374555058517
2020-4-15,985228.1053254441,4354.5,273 CASTLE PEAK RD|273 青山道,1125128.8054577347,3620.0,202.0,845327.4051931534,5089.0,141.0,,0.0560695130992106,0.042744252873563315
2020-3-15,932919.7492257203,4176.0,273 CASTLE PEAK RD|273 青山道,1065463.3244565807,3499.0,202.0,800376.1739948599,4853.0,141.0,,-0.021287134928706153,0.02933201873305391
2020-2-15,953210.8777968932,4057.0,273 CASTLE PEAK RD|273 青山道,1088505.0179480843,3495.0,202.0,817916.7376457022,4619.0,141.0,,-0.07531026212365088,-0.01660404799418247
2020-1-15,1030844.0104310513,4125.5,273 CASTLE PEAK RD|273 青山道,1171659.8587162944,3422.0,202.0,890028.162145808,4829.0,141.0,,0.07328122279134841,0.021795665634674943
2019-12-15,960460.3048491541,4037.5,273 CASTLE PEAK RD|273 青山道,1091580.4194667498,3476.0,202.0,829340.1902315584,4599.0,141.0,,-0.005089891551257275,-0.09412160646174561
2019-11-15,965373.9535792811,4457.0,273 CASTLE PEAK RD|273 青山道,1100945.4377710118,4286.0,202.0,829802.4693875504,4628.0,141.0,,0.060251615409686377,-0.02129995608256474
2019-10-15,910514.0134177073,4554.0,273 CASTLE PEAK RD|273 青山道,1038326.6344418628,4379.0,202.0,782701.3923935518,4729.0,141.0,,-0.08801689305473837,-0.012896932914273296
2019-9-15,998389.1219953897,4613.5,273 CASTLE PEAK RD|273 青山道,1138491.7658271876,4436.0,202.0,858286.4781635917,4791.0,141.0,,-0.0016494783800333757,0.03825812985259369
2019-8-15,1000038.6641511044,4443.5,273 CASTLE PEAK RD|273 青山道,1140253.3397511733,4272.0,202.0,859823.9885510355,4615.0,141.0,,0.009372862833736617,0.046884203086347
2019-7-15,990752.4770812372,4244.5,273 CASTLE PEAK RD|273 青山道,1129509.176411972,4080.0,202.0,851995.7777505026,4409.0,141.0,,-0.03923068989494438,0.00987389959552698
2019-6-15,1031207.4570459615,4203.0,273 CASTLE PEAK RD|273 青山道,1175603.8426667135,4040.0,202.0,886811.0714252095,4366.0,141.0,,0.012616449913860572,0.010944076969332528
2019-5-15,1018359.376972083,4157.5,273 CASTLE PEAK RD|273 青山道,1160893.0591247096,3996.0,202.0,875825.6948194563,4319.0,141.0,,0.017269556904205396,-0.015277119848413068
2019-4-15,1001071.3188657628,4222.0,273 CASTLE PEAK RD|273 青山道,1141186.582709312,4058.0,202.0,860956.0550222137,4386.0,141.0,,-0.01186198705849184,0.008600095556617227
2019-3-15,1013088.5622806419,4186.0,273 CASTLE PEAK RD|273 青山道,1154791.150268596,4023.0,202.0,871385.9742926877,4349.0,141.0,,0.050049316143410794,-0.026058631921824116
2019-2-15,964800.9352565294,4298.0,273 CASTLE PEAK RD|273 青山道,1099608.6360572749,4130.0,202.0,829993.234455784,4466.0,141.0,,0.015473532825399428,0.0122468205369759
2019-1-15,950099.5388546649,4246.0,273 CASTLE PEAK RD|273 青山道,1080427.7515644238,4069.0,202.0,819771.3261449061,4423.0,141.0,,0.005056113176947097,-0.0930257396133718
2018-12-15,945319.8944797557,4681.5,273 CASTLE PEAK RD|273 青山道,1074923.871281686,4486.0,202.0,815715.9176778253,4877.0,141.0,,-0.010618942079183347,0.033671892249944824
2018-11-15,955465.9318689045,4529.0,273 CASTLE PEAK RD|273 青山道,1086280.8535844681,4339.0,202.0,824651.0101533408,4719.0,141.0,,-0.007736979723464543,0.039238182652592934
2018-10-15,962915.993385125,4358.0,273 CASTLE PEAK RD|273 青山道,1094713.1773619521,4175.0,202.0,831118.8094082979,4541.0,141.0,,-0.04567449262665968,-0.07463637328803485
2018-9-15,1009001.6309376754,4709.5,273 CASTLE PEAK RD|273 青山道,1146950.8612459572,4511.0,202.0,871052.4006293935,4908.0,141.0,,-0.046097352748675324,0.033124931446747885
2018-8-15,1057761.6424958236,4558.5,273 CASTLE PEAK RD|273 青山道,1202294.1287629153,4366.0,202.0,913229.156228732,4751.0,141.0,,-0.0009814224349823375,-0.01872780109783667
