,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,13099720.0,16593.25,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11240593.0,15899.0,707.0,10738831.0,15541.0,691.0,15876157.0,17389.0,913.0,13552876.0,16388.0,827.0,14976970.0,18110.0,827.0,16516170.0,18090.0,913.0,10945440.0,15840.0,691.0,10950723.0,15489.0,707.0,,0.038185599534882986,0.03821367120287822
2020-11-15,12617898.0,15982.5,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",10721655.0,15165.0,707.0,10349798.0,14978.0,691.0,15297315.0,16755.0,913.0,13058330.000000002,15790.0,827.0,14423707.000000002,17441.0,827.0,15914503.000000002,17431.0,913.0,10547424.0,15264.0,691.0,10630452.0,15036.0,707.0,,0.002410047831842288,0.002406842645802154
2020-10-15,12587561.375,15944.125,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",10696910.0,15130.0,707.0,10326303.999999998,14944.0,691.0,15261708.0,16716.0,913.0,13026904.0,15752.0,827.0,14381530.0,17390.0,827.0,15878896.0,17392.0,913.0,10523239.0,15229.0,691.0,10605000.0,15000.0,707.0,,-0.02016961763964764,-0.02017222439871258
2020-9-15,12846673.875,16272.375,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",10917494.0,15442.0,707.0,10540514.000000002,15254.0,691.0,15576693.0,17061.0,913.0,13293198.0,16074.0,827.0,14668498.999999998,17737.0,827.0,16211228.0,17756.0,913.0,10741595.0,15545.0,691.0,10824170.0,15310.0,707.0,,0.015383746719463742,0.01546058020078478
2020-8-15,12652038.125,16024.625,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",10734380.999999998,15183.0,707.0,10364309.0,14999.0,691.0,15313749.0,16773.0,913.0,13067427.0,15801.0,827.0,14589934.0,17642.0,827.0,15942806.0,17462.0,913.0,10561935.0,15285.0,691.0,10641764.0,15052.0,707.0,,-0.05707863596349716,-0.0561605006442113
2020-7-15,13417914.375,16978.125,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11302809.0,15987.0,707.0,10913654.0,15794.0,691.0,16801939.0,18403.0,913.0,13756318.0,16634.0,827.0,15353255.0,18565.0,827.0,16887761.0,18497.0,913.0,11122336.0,16096.0,691.0,11205243.0,15849.0,707.0,,0.03133087198042506,0.0313133537330772
2020-6-15,13010290.625,16462.625,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",10961328.0,15504.0,707.0,10584738.0,15318.0,691.0,16290659.0,17843.0,913.0,13337856.0,16128.0,827.0,14880211.0,17993.0,827.0,16373742.0,17934.0,913.0,10787201.0,15611.0,691.0,10866590.0,15370.0,707.0,,-0.006178731821488204,-0.0059101476404698206
2020-5-15,13091177.5,16560.5,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11048996.0,15628.0,707.0,10670422.0,15442.0,691.0,16424870.0,17990.0,913.0,13442885.0,16255.0,827.0,14997645.0,18135.0,827.0,16508866.0,18082.0,913.0,10681478.0,15458.0,691.0,10954258.0,15494.0,707.0,,0.03159551358173007,0.03208818603201813
2020-4-15,12690223.375,16045.625,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",10705394.0,15142.0,707.0,10340124.0,14964.0,691.0,15917242.000000002,17434.0,913.0,13349434.0,16142.0,827.0,14530390.0,17570.0,827.0,15999412.0,17524.0,913.0,10349107.0,14977.0,691.0,10330684.0,14612.0,707.0,,-0.06147286151221942,-0.06146725938057496
2020-3-15,13521424.0,17096.5,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11405324.0,16132.0,707.0,11017995.0,15945.0,691.0,16962627.0,18579.0,913.0,14222746.0,17198.0,827.0,15478132.0,18716.0,827.0,17050275.0,18675.0,913.0,11025596.0,15956.0,691.0,11008697.0,15571.0,707.0,,0.11004446370216203,0.11006322487440245
2020-2-15,12180975.125,15401.375,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",10274831.0,14533.0,707.0,9923451.0,14361.0,691.0,15285446.0,16742.0,913.0,12811884.000000002,15492.0,827.0,13938258.0,16854.0,827.0,15365790.0,16830.0,913.0,9931052.0,14372.0,691.0,9917089.0,14027.0,707.0,,-0.06107785433883495,-0.06119945444709429
2020-1-15,12973360.125,16405.375,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11057479.999999998,15640.0,707.0,10553643.0,15273.0,691.0,16264182.000000002,17814.0,913.0,13627306.0,16478.0,827.0,14820667.0,17921.0,827.0,16351830.000000002,17910.0,913.0,10562626.0,15286.0,691.0,10549147.000000002,14921.0,707.0,,-0.055403535381602365,-0.0554659949622166
2019-12-15,13734288.25,17368.75,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11729837.0,16591.0,707.0,11190745.0,16195.0,691.0,17253874.0,18898.0,913.0,14251691.0,17233.0,827.0,15711346.0,18998.0,827.0,17348826.0,19002.0,913.0,11200419.0,16209.0,691.0,11187568.0,15824.0,707.0,,0.026339652128863245,0.02578678104490728
2019-11-15,13381815.875,16932.125,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11485922.0,16246.0,707.0,10918491.0,15801.0,691.0,16670467.0,18259.0,913.0,13953971.0,16873.0,827.0,15373930.0,18590.0,827.0,16736203.0,18331.0,913.0,10963406.0,15866.0,691.0,10952137.0,15491.0,707.0,,0.022920407621274785,0.022934602023863437
2019-10-15,13081971.75,16552.5,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11230695.0,15885.0,707.0,10671113.0,15443.0,691.0,16300702.0,17854.0,913.0,13643019.000000002,16497.0,827.0,15023282.0,18166.0,827.0,16365525.0,17925.0,913.0,10715337.0,15507.0,691.0,10706101.0,15143.0,707.0,,0.027766055169618165,0.027778424569818716
2019-9-15,12728550.125,16105.125,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",10929513.0,15459.0,707.0,10380201.999999998,15022.0,691.0,15863374.999999998,17375.0,913.0,13275830.999999998,16053.0,827.0,14610609.0,17667.0,827.0,15928198.0,17446.0,913.0,10423735.0,15085.0,691.0,10416938.0,14734.0,707.0,,-0.07552360793712354,-0.07603769255041448
2019-8-15,13768388.5,17430.5,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11767308.0,16644.0,707.0,11380770.000000002,16470.0,691.0,17075839.0,18703.0,913.0,14382357.0,17391.0,827.0,15717135.0,19005.0,827.0,17147053.0,18781.0,913.0,11466454.0,16594.0,691.0,11210192.0,15856.0,707.0,,0.01752520011430936,0.017534898315102687
2019-7-15,13531250.625,17130.125,"BANYAN MANSION(Block 5,Phase 10,WHAMPOA GARDEN),8 WAN HOI ST|黃埔花園,10期,5座(綠榕苑),8 環海街",11563692.0,16356.0,707.0,11183835.0,16185.0,691.0,16785505.0,18385.0,913.0,14135084.0,17092.0,827.0,15440090.0,18670.0,827.0,16855806.0,18462.0,913.0,11269519.0,16309.0,691.0,11016474.0,15582.0,707.0,,-0.031343338901460904,-0.03133437946195061
