,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,6198260.375,9816.0,8,49586083,78528,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",7116500.0,10750.0,662.0,6421280.0,9584.0,670.0,6421280.0,9584.0,670.0,6353876.0,9598.0,662.0,6353876.0,9598.0,662.0,5300442.0,9982.0,531.0,5047155.0,9505.0,531.0,6571674.0,9927.0,662.0,0.02332346450195577,0.024020029731632864
2019-11-15,6056990.375,9585.75,8,48455923,76686,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",6817276.0,10298.0,662.0,6362320.0,9496.0,670.0,6362320.0,9496.0,670.0,6294958.0,9509.0,662.0,6294958.0,9509.0,662.0,5113530.0,9630.0,531.0,4866615.0,9165.0,531.0,6343946.0,9583.0,662.0,0.04468222678501266,0.04471145986594727
2019-10-15,5797926.125,9175.5,8,46383409,73404,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",6524010.0,9855.0,662.0,6091640.0,9092.0,670.0,6091640.0,9092.0,670.0,6026848.0,9104.0,662.0,6026848.0,9104.0,662.0,4893696.0,9216.0,531.0,4654215.0,8765.0,531.0,6074512.0,9176.0,662.0,-0.01636236650825562,-0.016335446176111934
2019-9-15,5894372.0,9327.875,8,47154976,74623,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",6630592.0,10016.0,662.0,6194150.0,9245.0,670.0,6194150.0,9245.0,670.0,6128796.0,9258.0,662.0,6128796.0,9258.0,662.0,4973877.0,9367.0,531.0,4727493.0,8903.0,531.0,6177122.0,9331.0,662.0,-0.0704370728059367,-0.07040797259420739
2019-8-15,6341014.5,10034.375,8,50728116,80275,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",7131064.0,10772.0,662.0,6665160.0,9948.0,670.0,6665160.0,9948.0,670.0,6594844.0,9962.0,662.0,6594844.0,9962.0,662.0,5348763.0,10073.0,531.0,5081139.0,9569.0,531.0,6647142.0,10041.0,662.0,0.026701587825753048,0.026731470230862753
2019-7-15,6176102.75,9773.125,8,49408822,78185,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",6943056.0,10488.0,662.0,6493640.0,9692.0,670.0,6493640.0,9692.0,670.0,6424710.0,9705.0,662.0,6424710.0,9705.0,662.0,5208048.0,9808.0,531.0,4944672.0,9312.0,531.0,6476346.0,9783.0,662.0,-0.04454728058639312,-0.04452021312998
2019-6-15,6464059.0,10228.5,8,51712472,81828,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",7264788.0,10974.0,662.0,6797820.0,10146.0,670.0,6797820.0,10146.0,670.0,6725920.0,10160.0,662.0,6725920.0,10160.0,662.0,5449122.0,10262.0,531.0,5170878.0,9738.0,531.0,6780204.0,10242.0,662.0,0.009643361068790934,0.009673757465080701
2019-5-15,6402319.125,10130.5,8,51218553,81044,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",7193292.0,10866.0,662.0,6734840.0,10052.0,670.0,6734840.0,10052.0,670.0,6663030.0,10065.0,662.0,6663030.0,10065.0,662.0,5395491.0,10161.0,531.0,5116716.0,9636.0,531.0,6717314.0,10147.0,662.0,-0.0018392051219529026,-0.0018105455038119889
2019-4-15,6414116.0,10148.875,8,51312928,81191,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",7204546.0,10883.0,662.0,6748910.0,10073.0,670.0,6748910.0,10073.0,670.0,6676932.0,10086.0,662.0,6676932.0,10086.0,662.0,5403987.0,10177.0,531.0,5121495.0,9645.0,531.0,6731216.0,10168.0,662.0,0.07598650285401143,0.07601881916373987
2019-3-15,5961149.125,9431.875,8,47689193,75455,5050,"KA SHING LAU,KA WAI CHUEN,FAT KWONG ST|家盛樓(家維村),佛光街",6693482.0,10111.0,662.0,6273880.0,9364.0,670.0,6273880.0,9364.0,670.0,6206912.0,9376.0,662.0,6206912.0,9376.0,662.0,5020605.0,9455.0,531.0,4755636.0,8956.0,531.0,6257886.0,9453.0,662.0,0.020848087163963358,0.020876177075441094
