,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A7,npsf_A7,nfa_A7,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_D1,npsf_D1,nfa_D1,lumpSum_D2,npsf_D2,nfa_D2,lumpSum_D3,npsf_D3,nfa_D3,lumpSum_D5,npsf_D5,nfa_D5,lumpSum_D6,npsf_D6,nfa_D6,lumpSum_D7,npsf_D7,nfa_D7,lumpSum_D8,npsf_D8,nfa_D8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5449891.2,21057.24,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5483844.0,19869.0,276.0,4162347.0,22023.0,189.0,4244772.0,21657.0,196.0,5369645.0,19385.0,277.0,5260026.0,19554.0,269.0,4400256.0,22918.0,192.0,4668410.0,21815.0,214.0,5670880.0,21160.0,268.0,5731040.0,21070.0,272.0,6122176.0,22508.0,272.0,5779152.000000001,21564.0,268.0,5741364.0,21423.0,268.0,6030290.0,21770.0,277.0,4678520.0,23870.0,196.0,4924838.0,22591.0,218.0,7493515.0,19165.0,391.0,5374380.0,21076.0,255.0,5371380.0,19894.0,270.0,7325775.999999999,18736.0,391.0,5101664.0,19472.0,262.0,5414136.0,20202.0,268.0,3996048.0,20388.0,196.0,4502708.0,22973.0,196.0,7956423.0,20883.0,381.0,5443690.0,20465.0,266.0,,0.03778648010744878,0.037783012823672246
2020-11-15,5251457.12,20290.6,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5284296.0,19146.0,276.0,4010769.0,21221.0,189.0,4090716.0,20871.0,196.0,5174083.0,18679.0,277.0,5068767.0,18843.0,269.0,4239936.0,22083.0,192.0,4498494.0,21021.0,214.0,5465324.0,20393.0,268.0,5522959.999999999,20305.0,272.0,5898864.0,21687.0,272.0,5568772.0,20779.0,268.0,5532324.0,20643.0,268.0,5811737.0,20981.0,277.0,4508392.0,23002.0,196.0,4745642.0,21769.0,218.0,7221770.0,18470.0,391.0,5178285.0,20307.0,255.0,5175360.0,19168.0,270.0,7059114.0,18054.0,391.0,4915906.0,18763.0,262.0,5215548.0,19461.0,268.0,3850616.0,19646.0,196.0,4338656.0,22136.0,196.0,7664577.0,20117.0,381.0,5245520.0,19720.0,266.0,,0.002403543387166529,0.0023989676929794257
2020-10-15,5238865.28,20242.04,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5271600.0,19100.0,276.0,4001130.0,21170.0,189.0,4081504.0,20824.0,196.0,5161895.0,18635.0,277.0,5056931.0,18799.0,269.0,4229568.0,22029.0,192.0,4488008.0,20972.0,214.0,5453264.0,20348.0,268.0,5510176.0,20258.0,272.0,5884448.0,21634.0,272.0,5555372.0,20729.0,268.0,5519191.999999999,20594.0,268.0,5798718.0,20934.0,277.0,4497808.0,22948.0,196.0,4734524.0,21718.0,218.0,7205348.0,18428.0,391.0,5165535.0,20257.0,255.0,5162400.0,19120.0,270.0,7042301.0,18011.0,391.0,4904378.0,18719.0,262.0,5201612.0,19409.0,268.0,3841208.0,19598.0,196.0,4328072.0,22082.0,196.0,7643622.0,20062.0,381.0,5233018.0,19673.0,266.0,,-0.0200523507145014,-0.020055847314526476
2020-9-15,5346066.48,20656.32,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5379516.0,19491.0,276.0,4083155.9999999995,21604.0,189.0,4165588.0,21253.0,196.0,5267432.0,19016.0,277.0,5160496.0,19184.0,269.0,4315968.0,22479.0,192.0,4580028.0,21402.0,214.0,5565823.999999999,20768.0,268.0,5623599.999999999,20675.0,272.0,6004400.0,22075.0,272.0,5669004.0,21153.0,268.0,5632288.0,21016.0,268.0,5918104.999999999,21365.0,277.0,4589928.0,23418.0,196.0,4831534.0,22163.0,218.0,7353928.0,18808.0,391.0,5270850.0,20670.0,255.0,5267700.0,19510.0,270.0,7186580.0,18380.0,391.0,5004724.0,19102.0,262.0,5306668.0,19801.0,268.0,3919804.0,19999.0,196.0,4416664.0,22534.0,196.0,7797927.0,20467.0,381.0,5339950.0,20075.0,266.0,,0.017292377679420046,0.017288114224477624
2020-8-15,5255191.72,20305.28,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5288160.000000001,19160.0,276.0,4013604.0,21236.0,189.0,4095224.0000000005,20894.0,196.0,5177961.0,18693.0,277.0,5073071.0,18859.0,269.0,4242624.0,22097.0,192.0,4502346.0,21039.0,214.0,5472023.999999999,20418.0,268.0,5528400.0,20325.0,272.0,5902128.0,21699.0,272.0,5572524.0,20793.0,268.0,5536880.0,20660.0,268.0,5818385.0,21005.0,277.0,4512116.0,23021.0,196.0,4749566.0,21787.0,218.0,7229981.0,18491.0,391.0,5180835.0,20317.0,255.0,5177789.999999999,19177.0,270.0,7064197.0,18067.0,391.0,4919836.0,18778.0,262.0,5215280.0,19460.0,268.0,3853164.0,19659.0,196.0,4341400.0,22150.0,196.0,7663053.0,20113.0,381.0,5249244.0,19734.0,266.0,,-0.05009204823556024,-0.05009693041219754
2020-7-15,5532316.8,21376.16,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5567196.0,20171.0,276.0,4225284.0,22356.0,189.0,4311804.0,21999.0,196.0,5451083.0,19679.0,277.0,5340995.0,19855.0,269.0,4466112.0,23261.0,192.0,4740100.0,22150.0,214.0,5761464.0,21498.0,268.0,5820528.0,21399.0,272.0,6213024.0,22842.0,272.0,5866252.0,21889.0,268.0,5828999.999999999,21750.0,268.0,6126132.0,22116.0,277.0,4750256.0,24236.0,196.0,5000266.0,22937.0,218.0,7611988.0,19468.0,391.0,5453685.000000001,21387.0,255.0,5450220.0,20186.0,270.0,7436820.0,19020.0,391.0,5179478.0,19769.0,262.0,5488908.0,20481.0,268.0,4056415.9999999995,20696.0,196.0,4570132.0,23317.0,196.0,8064627.0,21167.0,381.0,5526150.0,20775.0,266.0,,0.03137944007565885,0.0313752660924409
2020-6-15,5363997.56,20725.88,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5397732.000000001,19557.0,276.0,4096764.0,21676.0,189.0,4181072.0,21332.0,196.0,5285160.0,19080.0,277.0,5178518.999999999,19251.0,269.0,4330176.0,22553.0,192.0,4596078.0,21477.0,214.0,5586996.0,20847.0,268.0,5644000.0,20750.0,272.0,6023711.999999999,22146.0,272.0,5687764.0,21223.0,268.0,5651583.999999999,21088.0,268.0,5940819.0,21447.0,277.0,4606000.0,23500.0,196.0,4848320.0,22240.0,218.0,7381298.0,18878.0,391.0,5287680.0,20736.0,255.0,5283900.0,19570.0,270.0,7210822.0,18442.0,391.0,5022016.0,19168.0,262.0,5320604.0,19853.0,268.0,3932936.0,20066.0,196.0,4430972.0,22607.0,196.0,7816977.0,20517.0,381.0,5358038.0,20143.0,266.0,,-0.008244083888537035,-0.008247584485583492
2020-5-15,5408586.4,20898.24,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5442720.000000001,19720.0,276.0,4130972.9999999995,21857.0,189.0,4216352.0,21512.0,196.0,5329203.0,19239.0,277.0,5221828.0,19412.0,269.0,4366080.0,22740.0,192.0,4634384.0,21656.0,214.0,5634432.0,21024.0,268.0,5691328.0,20924.0,272.0,6073216.0,22328.0,272.0,5734932.0,21399.0,268.0,5698752.0,21264.0,268.0,5990956.0,21628.0,277.0,4644416.0,23696.0,196.0,4888650.0,22425.0,218.0,7443858.0,19038.0,391.0,5331285.0,20907.0,255.0,5327370.0,19731.0,270.0,7270645.0,18595.0,391.0,5063936.0,19328.0,262.0,5363484.0,20013.0,268.0,3965472.0000000005,20232.0,196.0,4467820.0,22795.0,196.0,7879842.0,20682.0,381.0,5402726.0,20311.0,266.0,,0.03178527787390806,0.03177951039173399
2020-4-15,5241968.96,20254.56,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5275188.0,19113.0,276.0,4003776.0,21184.0,189.0,4086992.0,20852.0,196.0,5165218.999999999,18647.0,277.0,5061235.0,18815.0,269.0,4231488.0,22039.0,192.0,4491860.0,20990.0,214.0,5461572.0,20379.0,268.0,5516432.000000001,20281.0,272.0,5885808.0,21639.0,272.0,5558319.999999999,20740.0,268.0,5523480.0,20610.0,268.0,5807305.0,20965.0,277.0,4501532.0,22967.0,196.0,4738230.0,21735.0,218.0,7215123.0,18453.0,391.0,5166555.0,20261.0,255.0,5162940.000000001,19122.0,270.0,7046602.0,18022.0,391.0,4908046.0,18733.0,262.0,5197056.0,19392.0,268.0,3843364.0,19609.0,196.0,4330032.0,22092.0,196.0,7634859.0,20039.0,381.0,5236210.000000001,19685.0,266.0,,-0.061635006106354195,-0.06163724808895055
2020-3-15,5586279.32,21585.0,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5621568.0,20368.0,276.0,4266675.0,22575.0,189.0,4355904.0,22224.0,196.0,5504544.000000001,19872.0,277.0,5393988.0,20052.0,269.0,4509312.0,23486.0,192.0,4787180.0,22370.0,214.0,5821228.0,21721.0,268.0,5879280.0,21615.0,272.0,6272048.0,23059.0,272.0,5923336.0,22102.0,268.0,5886352.0,21964.0,268.0,6189565.0,22345.0,277.0,4797296.0,24476.0,196.0,5049752.0,23164.0,218.0,7690188.0,19668.0,391.0,5505705.0,21591.0,255.0,5501520.0,20376.0,270.0,7509546.0,19206.0,391.0,5230306.0,19963.0,262.0,5537148.0,20661.0,268.0,4095812.0,20897.0,196.0,4614232.0,23542.0,196.0,8134350.0,21350.0,381.0,5580148.000000001,20978.0,266.0,,0.11006785493972293,0.11006313242999166
