,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4649795.8,13185.0,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",4034719.9999999995,13360.0,302.0,4990107.0,13029.0,383.0,5012321.0,13087.0,383.0,4958701.0,12947.0,383.0,4253130.0,13502.0,315.0,,0.01780314376205494,0.017800901624158705
2020-11-15,4568462.8,12954.4,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3964052.0,13126.0,302.0,4902783.0,12801.0,383.0,4924614.0,12858.0,383.0,4871760.0,12720.0,383.0,4179104.9999999995,13267.0,315.0,,0.10551277988987517,0.10551288615804744
2020-10-15,4132437.8,11718.0,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3585646.0,11873.0,302.0,4434757.0,11579.0,383.0,4454673.0,11631.0,383.0,4406798.0,11506.0,383.0,3780315.0,12001.0,315.0,,-0.04212786229019572,-0.04213056059639997
2020-9-15,4314185.2,12233.4,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3743290.0,12395.0,302.0,4629704.0,12088.0,383.0,4650386.0,12142.0,383.0,4600596.0,12012.0,383.0,3946950.0,12530.0,315.0,,-0.0035830667943921313,-0.0035838206786452664
2020-8-15,4329698.8,12277.4,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3756578.0,12439.0,302.0,4646173.0,12131.0,383.0,4667238.0,12186.0,383.0,4617065.0,12055.0,383.0,3961440.0,12576.0,315.0,,-0.025850067940997423,-0.025850577631077898
2020-7-15,4444591.8,12603.2,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3856238.0,12769.0,302.0,4769499.0,12453.0,383.0,4790947.0,12509.0,383.0,4739625.0,12375.0,383.0,4066650.0,12910.0,315.0,,0.003536203844440644,0.0035353696213014096
2020-6-15,4428930.2,12558.8,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3842346.0,12723.0,302.0,4752647.0,12409.0,383.0,4774095.0,12465.0,383.0,4722773.0,12331.0,383.0,4052790.0,12866.0,315.0,,0.019284034773207726,0.01928383599000094
2020-5-15,4345138.4,12321.2,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3769564.0,12482.0,302.0,4662642.0,12174.0,383.0,4683707.0,12229.0,383.0,4633534.0,12098.0,383.0,3976245.0,12623.0,315.0,,0.05705085442263069,0.05705118306137513
2020-4-15,4110623.8,11656.2,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3566016.0,11808.0,302.0,4411011.0,11517.0,383.0,4430927.0,11569.0,383.0,4383435.0,11445.0,383.0,3761730.0,11942.0,315.0,,-0.018292196545237838,-0.018292991055636865
2020-3-15,4187217.2,11873.4,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3632154.0,12027.0,302.0,4493356.0,11732.0,383.0,4513272.0,11784.0,383.0,4465014.0,11658.0,383.0,3832290.0,12166.0,315.0,,-0.09149240549179649,-0.09095502779181408
2020-2-15,4608896.2,13061.4,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3996064.0,13232.0,302.0,4963680.0,12960.0,383.0,4993937.0,13039.0,383.0,4938785.0,12895.0,383.0,4152015.0,13181.0,315.0,,0.03122334482688105,0.029559213015512675
2020-1-15,4469348.2,12686.4,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3926906.0,13003.0,302.0,4953722.0,12934.0,383.0,4983979.0,13013.0,383.0,4338624.0,11328.0,383.0,4143510.0,13154.0,315.0,,0.0260817040858472,0.026092301719536026
2019-12-15,4355743.0,12363.8,"MING YUET BLDG,PAU CHUNG ST|明月大廈,炮仗街",3826340.0,12670.0,302.0,4827715.0,12605.0,383.0,4856823.0,12681.0,383.0,4229852.0,11044.0,383.0,4037985.0,12819.0,315.0,,0.023807803483492984,0.023815438631357377
