,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_I,npsf_I,nfa_I,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_O,npsf_O,nfa_O,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,lumpSum_S,npsf_S,nfa_S,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,4483656.157894737,12223.21052631579,19,85189467.0,232241.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4538250.0,12102.0,375.0,4548214.0,12161.0,374.0,4555500.0,12148.0,375.0,4540360.0,12140.0,374.0,4555500.0,12148.0,375.0,4548214.0,12161.0,374.0,4391370.0,12405.0,354.0,4431496.0,12344.0,359.0,4502112.0,12234.0,368.0,5946070.0,11219.0,530.0,3985176.0000000005,12532.0,318.0,3571659.0,13377.0,267.0,4358879.0,11749.0,371.0,4477740.0,12102.0,370.0,4525087.0,12197.0,371.0,4517700.0,12210.0,370.0,4318020.0,12516.0,345.0,4387800.0,12360.0,355.0,4490320.0,12136.0,370.0,-0.0006642767702647046,-0.000641163561254654
2019-11-15,4486636.52631579,12231.052631578947,19,85246094.0,232390.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4556625.0,12151.0,375.0,4549710.0,12165.0,374.0,4557750.0,12154.0,375.0,4542230.0,12145.0,374.0,4557750.0,12154.0,375.0,4549710.0,12165.0,374.0,4391370.0,12405.0,354.0,4431496.0,12344.0,359.0,4502112.0,12234.0,368.0,5945540.0,11218.0,530.0,3983268.0,12526.0,318.0,3569256.0,13368.0,267.0,4375945.0,11795.0,371.0,4495130.0,12149.0,370.0,4525087.0,12197.0,371.0,4517700.0,12210.0,370.0,4318020.0,12516.0,345.0,4387445.0,12359.0,355.0,4489950.0,12135.0,370.0,0.019413305006734882,0.019424290013247747
2019-10-15,4401194.7894736845,11998.0,19,83622701.0,227962.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4470000.0,11920.0,375.0,4463316.0,11934.0,374.0,4470750.0,11922.0,375.0,4455836.0,11914.0,374.0,4470750.0,11922.0,375.0,4463316.0,11934.0,374.0,4307826.0,12169.0,354.0,4347131.0,12109.0,359.0,4416736.0,12002.0,368.0,5832120.0,11004.0,530.0,3905676.0000000005,12282.0,318.0,3499035.0,13105.0,267.0,4290986.0,11566.0,371.0,4409290.0,11917.0,370.0,4440128.0,11968.0,371.0,4432230.0,11979.0,370.0,4235910.0,12278.0,345.0,4307925.0,12135.0,355.0,4403740.0,11902.0,370.0,-0.02684771990058188,-0.026838961959282592
2019-9-15,4522616.736842105,12328.894736842105,19,85929718.0,234249.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4593000.0,12248.0,375.0,4586362.0,12263.0,374.0,4594125.0,12251.0,375.0,4578882.0,12243.0,374.0,4594125.0,12251.0,375.0,4586362.0,12263.0,374.0,4426770.0,12505.0,354.0,4459498.0,12422.0,359.0,4538544.0,12333.0,368.0,5993240.0,11308.0,530.0,4011888.0,12616.0,318.0,3593553.0,13459.0,267.0,4407851.0,11881.0,371.0,4531020.0,12246.0,370.0,4562558.0,12298.0,371.0,4554700.0,12310.0,370.0,4352865.0,12617.0,345.0,4439275.0,12505.0,355.0,4525100.0,12230.0,370.0,-0.01039536268800767,-0.010559706693586968
2019-8-15,4570124.842105263,12460.473684210527,19,86832372.0,236749.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4645125.0,12387.0,375.0,4637974.0,12401.0,374.0,4646250.0,12390.0,375.0,4630494.0,12381.0,374.0,4646250.0,12390.0,375.0,4637974.0,12401.0,374.0,4468188.0,12622.0,354.0,4509758.0,12562.0,359.0,4589696.0,12472.0,368.0,6009140.0,11338.0,530.0,4055136.0,12752.0,318.0,3631734.0,13602.0,267.0,4456081.0,12011.0,371.0,4581710.0,12383.0,370.0,4614127.0,12437.0,371.0,4606130.0,12449.0,370.0,4401855.0,12759.0,345.0,4489330.0,12646.0,355.0,4575420.0,12366.0,370.0,-0.008488343433447287,-0.008468365086212293
2019-7-15,4609249.736842105,12566.894736842105,19,87575745.0,238771.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4685625.0,12495.0,375.0,4678740.0,12510.0,374.0,4686750.0,12498.0,375.0,4671260.0,12490.0,374.0,4686750.0,12498.0,375.0,4678740.0,12510.0,374.0,4507128.0,12732.0,354.0,4549248.0,12672.0,359.0,4629808.0,12581.0,368.0,6061610.0,11437.0,530.0,4088843.9999999995,12858.0,318.0,3661104.0,13712.0,267.0,4493552.0,12112.0,371.0,4621670.0,12491.0,370.0,4654566.0,12546.0,371.0,4646460.0,12558.0,370.0,4430145.0,12841.0,345.0,4528735.0,12757.0,355.0,4615010.0,12473.0,370.0,-0.008204949014636975,-0.008339597722392789
2019-6-15,4647381.263157895,12672.578947368422,19,88300244.0,240779.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4720875.0,12589.0,375.0,4714270.0,12605.0,374.0,4722375.0,12593.0,375.0,4706416.0,12584.0,374.0,4722375.0,12593.0,375.0,4714270.0,12605.0,374.0,4541466.0,12829.0,354.0,4583712.0,12768.0,359.0,4665136.0,12677.0,368.0,6107190.0,11523.0,530.0,4144176.0000000005,13032.0,318.0,3708897.0000000005,13891.0,267.0,4526200.0,12200.0,371.0,4656450.0,12585.0,370.0,4689811.0,12641.0,371.0,4681610.0,12653.0,370.0,4463610.0,12938.0,345.0,4581985.0,12907.0,355.0,4649420.0,12566.0,370.0,0.011804679976746835,0.011791253629613418
2019-5-15,4593160.47368421,12524.894736842105,19,87270049.0,237973.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4665750.0,12442.0,375.0,4658918.0,12457.0,374.0,4666875.0,12445.0,375.0,4651438.0,12437.0,374.0,4666875.0,12445.0,375.0,4658918.0,12457.0,374.0,4501110.0,12715.0,354.0,4543145.0,12655.0,359.0,4583440.0,12455.0,368.0,6035110.0,11387.0,530.0,4094249.9999999995,12875.0,318.0,3664308.0,13724.0,267.0,4485390.0,12090.0,371.0,4613900.0,12470.0,370.0,4634532.0,12492.0,371.0,4599470.0,12431.0,370.0,4423935.0,12823.0,345.0,4528025.0,12755.0,355.0,4594660.0,12418.0,370.0,0.007313516789334118,0.006888235418561761
2019-4-15,4559812.2105263155,12439.21052631579,19,86636432.0,236345.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4622250.0,12326.0,375.0,4612542.0,12333.0,374.0,4620750.0,12322.0,375.0,4632738.0,12387.0,374.0,4620750.0,12322.0,375.0,4612542.0,12333.0,374.0,4482348.0,12662.0,354.0,4524118.0,12602.0,359.0,4564304.0,12403.0,368.0,5899960.0,11132.0,530.0,4076124.0,12818.0,318.0,3648555.0,13665.0,267.0,4466098.0,12038.0,371.0,4594660.0,12418.0,370.0,4588528.0,12368.0,371.0,4580230.0,12379.0,370.0,4405305.0,12769.0,345.0,4509210.0,12702.0,355.0,4575420.0,12366.0,370.0,0.03533398394915266,0.03533849078754847
2019-3-15,4404194.47368421,12014.631578947368,19,83679695.0,228278.0,6995,"HING TAT MANS,NGAU TAU KOK RD|興達大廈,牛頭角道",4464750.0,11906.0,375.0,4455462.0,11913.0,374.0,4462875.0,11901.0,375.0,4474910.0,11965.0,374.0,4462875.0,11901.0,375.0,4455462.0,11913.0,374.0,4329420.0,12230.0,354.0,4369748.0,12172.0,359.0,4408640.0,11980.0,368.0,5698560.0,10752.0,530.0,3936203.9999999995,12378.0,318.0,3523332.0,13196.0,267.0,4313246.0,11626.0,371.0,4438150.0,11995.0,370.0,4431966.0,11946.0,371.0,4424090.0,11957.0,370.0,4255230.0,12334.0,345.0,4355495.0,12269.0,355.0,4419280.0,11944.0,370.0,3.880422840141229e-05,5.69513504040664e-05
