,lumpSum_avg,npsf_avg,final_address,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_2,npsf_2,nfa_2,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2020-12-15,2143655.5,7078.833333333333,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1266430.0,8734.0,145.0,1620156.0,6068.0,267.0,1956308.9999999998,7327.0,267.0,2931800.0,6850.0,428.0,2543619.0,6747.0,377.0,2543619.0,6747.0,377.0,,0.02794289748258172,0.02792903990900064
2020-11-15,2085383.8333333333,6886.5,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1232065.0,8497.0,145.0,1576368.0,5904.0,267.0,1903176.0,7128.0,267.0,2852192.0,6664.0,428.0,2474251.0,6563.0,377.0,2474251.0,6563.0,377.0,,-0.005742325892243216,0.03145360593125135
2020-10-15,2097427.948147093,6676.5,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1249610.0,8618.0,145.0,1608836.7293087852,5343.0,267.0,1815398.9595737723,6029.0,267.0,2892852.0,6759.0,428.0,2508935.0,6655.0,377.0,2508935.0,6655.0,377.0,,-0.012872680282781879,-0.02833094816503756
2020-9-15,2124779.556043431,6871.166666666667,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1266140.0,8732.0,145.0,1630328.8628186858,5718.0,267.0,1837042.4734419014,6443.0,267.0,2930944.0,6848.0,428.0,2542111.0,6743.0,377.0,2542111.0,6743.0,377.0,,0.01609964027940891,0.02977394779567888
2020-8-15,2091113.3827969423,6672.5,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1246420.0,8596.0,145.0,1605089.0808384249,5376.0,267.0,1805725.215943228,6048.0,267.0,2885148.0,6741.0,428.0,2502149.0,6637.0,377.0,2502149.0,6637.0,377.0,,-0.02350933971070701,-0.01079758845621659
2020-7-15,2141457.6378819984,6745.333333333333,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1276725.0,8805.0,145.0,1644570.8516794294,5260.0,267.0,1847171.9756125605,5908.0,267.0,2955340.0,6905.0,428.0,2562469.0,6797.0,377.0,2562469.0,6797.0,377.0,,0.001634060639249979,0.02086013368646733
2020-6-15,2137964.07493901,6607.5,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1274985.0,8793.0,145.0,1642335.2648087344,4894.0,267.0,1842006.1848253256,5489.0,267.0,2951060.0,6895.0,428.0,2558699.0,6787.0,377.0,2558699.0,6787.0,377.0,,-0.0033050389309635664,-0.0225591715976331
2020-5-15,2145053.5604653503,6760.0,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1279480.0,8824.0,145.0,1648545.1123854832,5282.0,267.0,1845796.2504066161,5914.0,267.0,2961760.0,6920.0,428.0,2567370.0,6810.0,377.0,2567370.0,6810.0,377.0,,0.013897010012527744,0.01311352566504298
2020-4-15,2115652.319005109,6672.5,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1262080.0,8704.0,145.0,1626260.4453405126,5225.0,267.0,1819855.468690139,5847.0,267.0,2921100.0,6825.0,428.0,2532309.0,6717.0,377.0,2532309.0,6717.0,377.0,,-0.019012691809301763,-0.01030851379412634
2020-3-15,2156656.1578733884,6742.0,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1286585.0,8873.0,145.0,1657865.0488578316,5157.0,267.0,1855252.8983824989,5771.0,267.0,2977596.0,6957.0,428.0,2581319.0,6847.0,377.0,2581319.0,6847.0,377.0,,0.05698246066393797,0.0459740394063195
2020-2-15,2040389.730325985,6445.666666666667,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1217275.0,8395.0,145.0,1568493.2717496292,5069.0,267.0,1755388.1102062825,5673.0,267.0,2817524.0,6583.0,428.0,2441829.0,6477.0,377.0,2441829.0,6477.0,377.0,,-0.03765918522898293,-0.027729592478065168
2020-1-15,2120236.094123767,6629.5,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1265415.0,8727.0,145.0,1630321.486933032,5074.0,267.0,1824392.0778095697,5678.0,267.0,2928376.0,6842.0,428.0,2536456.0,6728.0,377.0,2536456.0,6728.0,377.0,,-0.03593236316496262,-0.01534767433225237
2019-12-15,2199260.7293450334,6732.833333333333,"TSUI TSZ HSE(TSUI PING (NORTH) EST),TSUI PING RD|翠屏(北)村(翠梓樓),翠屏道",1312975.0,9055.0,145.0,1691662.7914470432,4857.0,267.0,1892976.5846231584,5435.0,267.0,3038800.0,7100.0,428.0,2629575.0,6975.0,377.0,2629575.0,6975.0,377.0,,-0.0015427872953486244,-0.0005937507731129665
