,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7488309.0,15439.75,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7350720.0,15314.0,480.0,7970154.0,14842.0,537.0,7728426.0,15426.0,501.0,6659415.0,15309.0,435.0,7212712.0,16172.0,446.0,7352262.0,16018.0,459.0,8352143.0,15269.0,547.0,7280640.0,15168.0,480.0,,0.005666376560184094,0.005666737229486518
2020-11-15,7446116.5,15352.75,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7307999.999999999,15225.0,480.0,7926657.0,14761.0,537.0,7683837.0,15337.0,501.0,6622440.0,15224.0,435.0,7172126.0,16081.0,446.0,7311411.0,15929.0,459.0,8305101.0,15183.0,547.0,7239360.0,15082.0,480.0,,-0.014763024427087323,-0.014593913720204466
2020-10-15,7557690.875,15580.125,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7437120.0,15494.0,480.0,8138772.0,15156.0,537.0,7778025.0,15525.0,501.0,6705090.0,15414.0,435.0,7261772.0,16282.0,446.0,7403211.0,16129.0,459.0,8407937.0,15371.0,547.0,7329600.0,15270.0,480.0,,0.01599199231670001,0.015785956448037597
2020-9-15,7438730.75,15338.0,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7331040.0,15273.0,480.0,8026002.0,14946.0,537.0,7668807.0,15307.0,501.0,6611565.0,15199.0,435.0,7160530.0,16055.0,446.0,7300395.0,15905.0,459.0,8183667.0,14961.0,547.0,7227840.0,15058.0,480.0,,-0.01395145487025895,-0.013799921235161272
2020-8-15,7543980.25,15552.625,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7435200.0,15490.0,480.0,8144679.0,15167.0,537.0,7821111.000000001,15611.0,501.0,6639405.0,15263.0,435.0,7265786.0,16291.0,446.0,7407801.0,16139.0,459.0,8303460.0,15180.0,547.0,7334400.0,15280.0,480.0,,-0.018097129665810008,-0.01809586943826258
2020-7-15,7683020.875,15839.25,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7569120.0,15769.0,480.0,8295576.0,15448.0,537.0,7966401.0,15901.0,501.0,6762074.999999999,15545.0,435.0,7400032.0,16592.0,446.0,7544583.0,16437.0,459.0,8456620.0,15460.0,547.0,7469760.0,15562.0,480.0,,0.011811247671127623,0.011817876934378857
2020-6-15,7593334.125,15654.25,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7476960.0,15577.0,480.0,8199990.0,15270.0,537.0,7874718.0,15718.0,501.0,6681165.0,15359.0,435.0,7314400.0,16400.0,446.0,7457373.0,16247.0,459.0,8358707.0,15281.0,547.0,7383360.0,15382.0,480.0,,-0.0005554254698288963,-0.0005506651875852864
2020-5-15,7597554.0,15662.875,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7477920.0,15579.0,480.0,8204286.0,15278.0,537.0,7880730.0,15730.0,501.0,6681600.0,15360.0,435.0,7320197.999999999,16413.0,446.0,7462881.0,16259.0,459.0,8364177.0,15291.0,547.0,7388640.0,15393.0,480.0,,0.023584547398481925,0.02372568403336639
2020-4-15,7422497.75,15299.875,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7300319.999999999,15209.0,480.0,8014725.0,14925.0,537.0,7698867.0,15367.0,501.0,6520215.0,14989.0,435.0,7123958.000000001,15973.0,446.0,7289838.0,15882.0,459.0,8214299.0,15017.0,547.0,7217760.000000001,15037.0,480.0,,-0.002324024555538373,-0.0022986444518711124
2020-3-15,7439788.0,15335.125,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7257120.0,15119.0,480.0,8044260.0,14980.0,537.0,7726923.0,15423.0,501.0,6536745.0,15027.0,435.0,7149826.0,16031.0,446.0,7316460.0,15940.0,459.0,8243290.0,15070.0,547.0,7243680.0,15091.0,480.0,,0.02938205050376652,0.0298250621180578
2020-2-15,7227431.25,14891.0,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7093440.0,14778.0,480.0,7872957.0,14661.0,537.0,7519008.0,15008.0,501.0,6391019.999999999,14692.0,435.0,6660118.0,14933.0,446.0,7160400.0,15600.0,459.0,8030507.0,14681.0,547.0,7092000.0,14775.0,480.0,,-0.01405281402013181,-0.014036946302059206
2020-1-15,7330444.625,15103.0,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7193760.0,14987.0,480.0,7986801.0,14873.0,537.0,7626723.0,15223.0,501.0,6476715.0,14889.0,435.0,6753778.0,15143.0,446.0,7263216.0,15824.0,459.0,8145924.0,14892.0,547.0,7196640.0,14993.0,480.0,,0.02724086648817514,0.026943410338789997
2019-12-15,7136052.375,14706.75,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",6980640.0,14543.0,480.0,7770390.0,14470.0,537.0,7433337.0,14837.0,501.0,6393195.0,14697.0,435.0,6572256.0,14736.0,446.0,7065846.0,15394.0,459.0,7868595.0,14385.0,547.0,7004160.0,14592.0,480.0,,-0.05002993095960817,-0.049997577636742396
2019-11-15,7511870.75,15480.75,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7348320.0,15309.0,480.0,8182806.0,15238.0,537.0,7828125.0,15625.0,501.0,6733365.0,15479.0,435.0,6897836.0,15466.0,446.0,7439931.0,16209.0,459.0,8286503.0,15149.0,547.0,7378080.0,15371.0,480.0,,0.048994430175935966,0.04908006641141194
2019-10-15,7161020.625,14756.5,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7010880.0,14606.0,480.0,7809054.000000001,14542.0,537.0,7452375.000000001,14875.0,501.0,6377970.0,14662.0,435.0,6585636.0,14766.0,446.0,7100271.0,15469.0,459.0,7907979.0,14457.0,547.0,7044000.0,14675.0,480.0,,-0.01656736236669165,-0.01657753119741423
2019-9-15,7281658.5,15005.25,"TSEUNG KWAN O PLAZA(Phase 1),Block 3A,TONG TAK ST|將軍澳廣場1期,3A座,唐德街",7126560.0,14847.0,480.0,7940082.0,14786.0,537.0,7577124.0,15124.0,501.0,6487590.0,14914.0,435.0,6698474.0,15019.0,446.0,7219152.0,15728.0,459.0,8039806.0,14698.0,547.0,7164480.0,14926.0,480.0,,-0.038045026115571146,-0.03805562901170756
