,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_24,npsf_24,nfa_24,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,5141330.166666667,11270.166666666666,24,123391924.0,270484.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5440730.0,11218.0,485.0,5028493.0,11351.0,443.0,5018747.0,11329.0,443.0,5497827.0,11243.0,489.0,5393670.0,11030.0,489.0,5028493.0,11351.0,443.0,5028493.0,11351.0,443.0,5501355.0,11343.0,485.0,5477105.0,11293.0,485.0,5028493.0,11351.0,443.0,4901352.0,11064.0,443.0,5033809.0,11363.0,443.0,5030985.0,11255.0,447.0,5969110.0,11095.0,538.0,5028493.0,11351.0,443.0,5028493.0,11351.0,443.0,5458675.0,11255.0,485.0,5028493.0,11351.0,443.0,5497827.0,11243.0,489.0,5415186.0,11074.0,489.0,4527460.0,10220.0,443.0,5035138.0,11366.0,443.0,4491220.0,11819.0,380.0,4502277.0,11817.0,381.0,-0.049262263599365474,-0.04931550181888478
2019-11-15,5407727.041666667,11854.791666666666,24,129785449.0,284515.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5724940.0,11804.0,485.0,5292964.0,11948.0,443.0,5283218.0,11926.0,443.0,5785848.0,11832.0,489.0,5674356.0,11604.0,489.0,5292964.0,11948.0,443.0,5292964.0,11948.0,443.0,5790900.0,11940.0,485.0,5741915.0,11839.0,485.0,5292964.0,11948.0,443.0,5156963.0,11641.0,443.0,5298280.0,11960.0,443.0,5295162.0,11846.0,447.0,6252098.0,11621.0,538.0,5293407.0,11949.0,443.0,5292964.0,11948.0,443.0,5719605.0,11793.0,485.0,5292964.0,11948.0,443.0,5785848.0,11832.0,489.0,5697828.0,11652.0,489.0,4765351.0,10757.0,443.0,5300052.0,11964.0,443.0,4724540.0,12433.0,380.0,4737354.0,12434.0,381.0,0.049139381295986606,0.049189456294067346
2019-10-15,5154441.0,11299.0,24,123706584.0,271176.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5473710.0,11286.0,485.0,5016089.0,11323.0,443.0,5012102.0,11314.0,443.0,5508585.0,11265.0,489.0,5424477.0,11093.0,489.0,5016089.0,11323.0,443.0,5016089.0,11323.0,443.0,5570225.0,11485.0,485.0,5490685.0,11321.0,485.0,5016089.0,11323.0,443.0,4922173.0,11111.0,443.0,5026721.0,11347.0,443.0,5055570.0,11310.0,447.0,5978794.0,11113.0,538.0,5021405.0,11335.0,443.0,5016089.0,11323.0,443.0,5469830.0,11278.0,485.0,5016089.0,11323.0,443.0,5508585.0,11265.0,489.0,5448438.0,11142.0,489.0,4557584.0,10288.0,443.0,5069249.0,11443.0,443.0,4516300.0,11885.0,380.0,4555617.0,11957.0,381.0,-0.05938870165147414,-0.05940298714542391
2019-9-15,5479884.208333333,12012.583333333334,24,131517221.0,288302.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5774895.0,11907.0,485.0,5326189.0,12023.0,443.0,5321759.0,12013.0,443.0,5871912.0,12008.0,489.0,5756508.0,11772.0,489.0,5326189.0,12023.0,443.0,5326189.0,12023.0,443.0,5914090.0,12194.0,485.0,5850070.0,12062.0,485.0,5326189.0,12023.0,443.0,5225185.0,11795.0,443.0,5337264.0,12048.0,443.0,5368023.0,12009.0,447.0,6373148.0,11846.0,538.0,5331948.0,12036.0,443.0,5326189.0,12023.0,443.0,5830670.0,12022.0,485.0,5326189.0,12023.0,443.0,5871912.0,12008.0,489.0,5753085.0,11765.0,489.0,4921287.0,11109.0,443.0,5407701.0,12207.0,443.0,4815740.0,12673.0,380.0,4834890.0,12690.0,381.0,0.03896388054067601,0.03890366334421613
2019-8-15,5274374.125,11562.75,24,126584979.0,277506.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5559070.0,11462.0,485.0,5128168.0,11576.0,443.0,5124181.0,11567.0,443.0,5652351.0,11559.0,489.0,5539881.0,11329.0,489.0,5128168.0,11576.0,443.0,5128168.0,11576.0,443.0,5652190.0,11654.0,485.0,5631335.0,11611.0,485.0,5128168.0,11576.0,443.0,5013431.0,11317.0,443.0,5152533.0,11631.0,443.0,5168214.0,11562.0,447.0,6134276.0,11402.0,538.0,5145888.0,11616.0,443.0,5128168.0,11576.0,443.0,5612420.0,11572.0,485.0,5173354.0,11678.0,443.0,5652351.0,11559.0,489.0,5497338.0,11242.0,489.0,4739657.0,10699.0,443.0,5206136.0,11752.0,443.0,4636380.0,12201.0,380.0,4653153.0,12213.0,381.0,-0.033561815182311716,-0.033565040537152147
2019-7-15,5457539.041666667,11964.333333333334,24,130980937.0,287144.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5752100.0,11860.0,485.0,5306697.0,11979.0,443.0,5302710.0,11970.0,443.0,5847951.0,11959.0,489.0,5729613.0,11717.0,489.0,5306697.0,11979.0,443.0,5306697.0,11979.0,443.0,5848615.0,12059.0,485.0,5825820.0,12012.0,485.0,5306697.0,11979.0,443.0,5187087.0,11709.0,443.0,5331948.0,12036.0,443.0,5348355.0,11965.0,447.0,6346786.0,11797.0,538.0,5324860.0,12020.0,443.0,5306697.0,11979.0,443.0,5806420.0,11972.0,485.0,5353655.0,12085.0,443.0,5847951.0,11959.0,489.0,5688537.0,11633.0,489.0,4906668.0,11076.0,443.0,5387323.0,12161.0,443.0,4797880.0,12626.0,380.0,4813173.0,12633.0,381.0,0.07362316109742095,0.07362013654684563
2019-6-15,5083291.083333333,11143.916666666666,24,121998986.0,267454.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5357310.0,11046.0,485.0,4943437.0,11159.0,443.0,4939450.0,11150.0,443.0,5446482.0,11138.0,489.0,5334501.0,10909.0,489.0,4943437.0,11159.0,443.0,4943437.0,11159.0,443.0,5448005.0,11233.0,485.0,5425210.0,11186.0,485.0,4943437.0,11159.0,443.0,4831358.0,10906.0,443.0,4966473.0,11211.0,443.0,4982262.0,11146.0,447.0,5910468.0,10986.0,538.0,4959828.0,11196.0,443.0,4943437.0,11159.0,443.0,5407750.0,11150.0,485.0,4986851.0,11257.0,443.0,5446482.0,11138.0,489.0,5298804.0,10836.0,489.0,4571760.0,10320.0,443.0,5018304.0,11328.0,443.0,4468800.0,11760.0,380.0,4481703.0,11763.0,381.0,-0.07683555485118698,-0.07683758176138633
2019-5-15,5506376.583333333,12071.458333333334,24,132153038.0,289715.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5802540.0,11964.0,485.0,5355427.0,12089.0,443.0,5350997.0,12079.0,443.0,5899296.0,12064.0,489.0,5776068.0,11812.0,489.0,5355427.0,12089.0,443.0,5355427.0,12089.0,443.0,5902450.0,12170.0,485.0,5876260.0,12116.0,485.0,5355427.0,12089.0,443.0,5232273.0,11811.0,443.0,5380235.0,12145.0,443.0,5397078.0,12074.0,447.0,6401662.0,11899.0,538.0,5373147.0,12129.0,443.0,5355427.0,12089.0,443.0,5857345.0,12077.0,485.0,5402385.0,12195.0,443.0,5899296.0,12064.0,489.0,5740371.0,11739.0,489.0,4954069.0,11183.0,443.0,5436053.0,12271.0,443.0,4841200.0,12740.0,380.0,4853178.0,12738.0,381.0,0.0417914718348551,0.041870450818493055
2019-4-15,5285488.25,11586.333333333334,24,126851718.0,278072.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5566830.0,11478.0,485.0,5137914.0,11598.0,443.0,5133927.0,11589.0,443.0,5679246.0,11614.0,489.0,5539392.0,11328.0,489.0,5137914.0,11598.0,443.0,5137914.0,11598.0,443.0,5663830.0,11678.0,485.0,5637155.0,11623.0,485.0,5137914.0,11598.0,443.0,5018304.0,11328.0,443.0,5161836.0,11652.0,443.0,5178495.0,11585.0,447.0,6163328.0,11456.0,538.0,5155191.0,11637.0,443.0,5137914.0,11598.0,443.0,5639095.0,11627.0,485.0,5183986.0,11702.0,443.0,5679246.0,11614.0,489.0,5507118.0,11262.0,489.0,4752947.0,10729.0,443.0,5214996.0,11772.0,443.0,4644360.0,12222.0,380.0,4642866.0,12186.0,381.0,0.03421474385432233,0.034186254091044255
2019-3-15,5110629.375,11203.333333333334,24,122655105.0,268880.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5373315.0,11079.0,485.0,4970903.0,11221.0,443.0,4966916.0,11212.0,443.0,5495382.0,11238.0,489.0,5356995.0,10955.0,489.0,4970903.0,11221.0,443.0,4970903.0,11221.0,443.0,5480985.0,11301.0,485.0,5396595.0,11127.0,485.0,4970903.0,11221.0,443.0,4853065.0,10955.0,443.0,4993939.0,11273.0,443.0,5009976.0,11208.0,447.0,5963730.0,11085.0,538.0,4987737.0,11259.0,443.0,4970903.0,11221.0,443.0,5456735.0,11251.0,485.0,5015646.0,11322.0,443.0,5495382.0,11238.0,489.0,5328144.0,10896.0,489.0,4598340.0,10380.0,443.0,5044884.0,11388.0,443.0,4493120.0,11824.0,380.0,4489704.0,11784.0,381.0,0.027816053102921012,0.02782088821950901
2019-2-15,4972319.083333333,10900.083333333334,24,119335658.0,261602.0,10958,"KA WO HSE(PO NGA COURT),Block C,Phase 2,2 TAI PO TAI WO RD|家和閣(寶雅苑),第2期,第C座,2 大埔太和路",5227815.0,10779.0,485.0,4836674.0,10918.0,443.0,4832687.0,10909.0,443.0,5347704.0,10936.0,489.0,5209806.0,10654.0,489.0,4836674.0,10918.0,443.0,4836674.0,10918.0,443.0,5333545.0,10997.0,485.0,5249640.0,10824.0,485.0,4836674.0,10918.0,443.0,4719722.0,10654.0,443.0,4858824.0,10968.0,443.0,4874535.0,10905.0,447.0,5803406.0,10787.0,538.0,4852622.0,10954.0,443.0,4836674.0,10918.0,443.0,5309780.0,10948.0,485.0,4880531.0,11017.0,443.0,5347704.0,10936.0,489.0,5183889.0,10601.0,489.0,4473857.0,10099.0,443.0,4908440.0,11080.0,443.0,4371140.0,11503.0,380.0,4366641.0,11461.0,381.0,0.05071752556968878,0.04927461825707824
