,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,5035182.837953877,3019.0,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5591492.996901498,3020.0,800.0,4462381.709076859,3008.0,641.0,4478700.259209786,3019.0,641.0,5608156.386627363,3029.0,800.0,,-0.0163242022939315,-0.04128294696729118
2020-11-15,5118742.221467602,3149.0,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5684154.297465292,3150.0,800.0,4535632.576177089,3137.0,641.0,4552982.780485067,3149.0,641.0,5702199.2317429595,3160.0,800.0,,0.019893802434958197,-0.020757210604058107
2020-10-15,5018897.270722497,3215.75,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5573749.09259772,3217.0,800.0,4447919.346988601,3204.0,641.0,4464578.220947361,3216.0,641.0,5589342.422356309,3226.0,800.0,,-0.008226364504631212,0.025512237901618384
2020-9-15,5060527.010496372,3135.75,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5620008.534312946,3137.0,800.0,4484370.883736502,3124.0,641.0,4501596.380088883,3136.0,641.0,5636132.243847156,3146.0,800.0,,0.01831578027598635,-0.04724648689707556
2020-8-15,4969506.619179422,3291.25,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5517943.38463491,3292.0,800.0,4403792.757297104,3279.0,641.0,4419909.10773552,3291.0,641.0,5536381.2270501545,3303.0,800.0,,-0.005203606538090488,0.024513618677042714
2020-7-15,4995501.242103873,3212.5,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5548056.320850978,3214.0,800.0,4426016.305744215,3200.0,641.0,4442613.866890756,3212.0,641.0,5565318.474929543,3224.0,800.0,,-0.0028415795008487343,-0.019233704777896543
2020-6-15,5009736.807520771,3275.5,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5563840.431650157,3277.0,800.0,4438981.561470907,3263.0,641.0,4455306.348089863,3275.0,641.0,5580818.888872159,3287.0,800.0,,-0.0045765563391558794,-0.057003022887577415
2020-5-15,5032769.560958487,3473.5,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5589255.881201728,3475.0,800.0,4459060.08945398,3460.0,641.0,4475813.783431698,3473.0,641.0,5606948.48974654,3486.0,800.0,,0.016830173926640546,-0.10257072729621497
2020-4-15,4949469.134578983,3870.5,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",5496470.019927486,3872.0,800.0,4384710.655052916,3855.0,641.0,4401771.786006429,3870.0,641.0,5514924.077329102,3885.0,800.0,,-0.2480990012842461,0.24173885145973695
2020-3-15,6582607.474963687,3117.0,"WINDSOR VILLA(Block 3),SHA TSENG RD|金莎花園3座,沙井路",7670335.514973573,3021.0,800.0,6406256.732039801,3149.0,641.0,6648347.729535113,3268.0,641.0,5605489.923306258,3030.0,800.0,,0.023023833358415402,-0.04809894640403112
