,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,6925182.25,11120.5,8,55401458.0,88964.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7113548.0,10523.0,676.0,6575175.0,11475.0,573.0,6642789.0,11593.0,573.0,7274436.0,10761.0,676.0,7154108.0,10583.0,676.0,6568299.0,11463.0,573.0,6572883.0,11471.0,573.0,7500220.0,11095.0,676.0,0.004504704276339533,0.004493823815008069
2019-11-15,6894126.25,11070.75,8,55153010.0,88566.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7081100.0,10475.0,676.0,6546525.0,11425.0,573.0,6615285.0,11545.0,573.0,7241312.0,10712.0,676.0,7120984.0,10534.0,676.0,6540222.0,11414.0,573.0,6542514.0,11418.0,573.0,7465068.0,11043.0,676.0,0.01810971581595222,0.018245783464974297
2019-10-15,6771496.375,10872.375,8,54171971.0,86979.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7016880.0,10380.0,676.0,6488079.0,11323.0,573.0,6484068.0,11316.0,573.0,7169656.0,10606.0,676.0,7056088.0,10438.0,676.0,6280653.0,10961.0,573.0,6481203.0,11311.0,573.0,7195344.0,10644.0,676.0,-0.02522870753736206,-0.025259713334752854
2019-9-15,6946754.0,11154.125,8,55574032.0,89233.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7198724.0,10649.0,676.0,6655395.0,11615.0,573.0,6667428.0,11636.0,573.0,7349472.0,10872.0,676.0,7237256.0,10706.0,676.0,6442812.0,11244.0,573.0,6645081.0,11597.0,573.0,7377864.0,10914.0,676.0,-0.013385822536059244,-0.013378592041396242
2019-8-15,7041003.625,11305.375,8,56328029.0,90443.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7297420.0,10795.0,676.0,6746502.0,11774.0,573.0,6757962.0,11794.0,573.0,7445464.000000001,11014.0,676.0,7335952.0,10852.0,676.0,6529908.0,11396.0,573.0,6732177.0,11749.0,573.0,7482644.0,11069.0,676.0,-0.005251319518575603,-0.005136948630513727
2019-7-15,7078173.375,11363.75,8,56625387.0,90910.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7324460.0,10835.0,676.0,6770568.0,11816.0,573.0,6838755.000000001,11935.0,573.0,7559708.0,11183.0,676.0,7361639.999999999,10890.0,676.0,6552828.0,11436.0,573.0,6706392.0,11704.0,573.0,7511036.0,11111.0,676.0,0.022892844754035302,0.02289732770745423
2019-6-15,6919760.375,11109.375,8,55358083.0,88875.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7162896.0,10596.0,676.0,6619869.0,11553.0,573.0,6682899.0,11663.0,573.0,7385976.0,10926.0,676.0,7198048.0,10648.0,676.0,6406713.0,11181.0,573.0,6556266.0,11442.0,573.0,7345416.0,10866.0,676.0,-0.02772930892062553,-0.027881081554077758
2019-5-15,7117113.0,11428.0,8,56936904.0,91424.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7356232.0,10882.0,676.0,6797499.0,11863.0,573.0,6858237.0,11969.0,573.0,7577960.0,11210.0,676.0,7390708.0,10933.0,676.0,6681753.0,11661.0,573.0,6731031.0,11747.0,573.0,7543484.0,11159.0,676.0,0.014974323621606667,0.015393500522001835
2019-4-15,7012111.375,11254.75,8,56096891.0,90038.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7231172.0,10697.0,676.0,6681180.0,11660.0,573.0,6737334.0,11758.0,573.0,7442084.0,11009.0,676.0,7479264.0,11064.0,676.0,6565433.999999999,11458.0,573.0,6545379.0,11423.0,573.0,7415044.0,10969.0,676.0,0.014105782012262535,0.014112744269865418
2019-3-15,6914575.875,11098.125,8,55316607.0,88785.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",7132476.0,10551.0,676.0,6588927.0,11499.0,573.0,6643362.0,11594.0,573.0,7335276.0,10851.0,676.0,7378540.0,10915.0,676.0,6403848.0,11176.0,573.0,6521885.999999999,11382.0,573.0,7312292.0,10817.0,676.0,0.04983254599286857,0.04992727315729106
2019-2-15,6586360.75,10570.375,8,52690886.0,84563.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",6802588.0,10063.0,676.0,6282372.0,10964.0,573.0,6333942.000000001,11054.0,573.0,6991192.0,10342.0,676.0,7037160.0,10410.0,676.0,6105888.0,10656.0,573.0,6165480.0,10760.0,573.0,6972264.0,10314.0,676.0,-0.010886337189166095,-0.011178802371402896
2019-1-15,6658851.25,10689.875,8,53270810.0,85519.0,4996,"BELVEDERE GDN(Phase 2),Block 5,CASTLE PEAK RD TSUEN WAN|麗城花園2期,5座,青山公路荃灣段",6905340.0,10215.0,676.0,6375771.0,11127.0,573.0,6427914.0,11218.0,573.0,7091240.0,10490.0,676.0,7144644.0,10569.0,676.0,6196422.000000001,10814.0,573.0,6256587.0,10919.0,573.0,6872892.0,10167.0,676.0,-0.004628807398079693,-0.004632377759931083
