,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,5293070.625,17942.125,8,42344565.0,143537.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5054190.0,17734.0,285.0,5022555.0,17623.0,285.0,5525990.0,18118.0,305.0,5461635.0,17907.0,305.0,5157075.0,18095.0,285.0,5203815.0,18259.0,285.0,5500675.0,18035.0,305.0,5418630.0,17766.0,305.0,0.001700033354860242,0.0017936906756002013
2019-11-15,5284087.5,17910.0,8,42272700.0,143280.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5026830.0,17638.0,285.0,5096370.0,17882.0,285.0,5532395.0,18139.0,305.0,5465905.0,17921.0,305.0,5163060.0,18116.0,285.0,5058465.0,17749.0,285.0,5505860.0,18052.0,305.0,5423815.0,17783.0,305.0,0.03889155606160166,0.038629658356952756
2019-10-15,5086274.375,17243.875,8,40690195.0,137951.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4925655.0,17283.0,285.0,4930500.0,17300.0,285.0,5312795.0,17419.0,305.0,5170055.0,16951.0,305.0,4990635.0,17511.0,285.0,4887465.0,17149.0,285.0,5231055.0,17151.0,305.0,5242035.0,17187.0,305.0,-0.039267991356050524,-0.03926484619295345
2019-9-15,5294165.625,17948.625,8,42353325.0,143589.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5126010.0,17986.0,285.0,5131995.0,18007.0,285.0,5457060.0,17892.0,305.0,5379895.0,17639.0,305.0,5194980.0,18228.0,285.0,5085825.0,17845.0,285.0,5521110.0,18102.0,305.0,5456450.0,17890.0,305.0,0.03073465411954235,0.030841463677284464
2019-8-15,5136303.125,17411.625,8,41090425.0,139293.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4986930.0,17498.0,285.0,4873500.0,17100.0,285.0,5309745.0,17409.0,305.0,5233800.0,17160.0,305.0,5055615.0,17739.0,285.0,4947600.0,17360.0,285.0,5372880.0,17616.0,305.0,5310355.0,17411.0,305.0,-0.04899444758755711,-0.04899330233701327
2019-7-15,5400918.125,18308.625,8,43207345.0,146469.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5243145.0,18397.0,285.0,5124300.0,17980.0,285.0,5583025.0,18305.0,305.0,5502505.0,18041.0,305.0,5317245.0,18657.0,285.0,5201535.0,18251.0,285.0,5650735.0,18527.0,305.0,5584855.0,18311.0,305.0,0.0225246124444467,0.02274964911913191
2019-6-15,5281944.375,17901.375,8,42255555.0,143211.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5090670.0,17862.0,285.0,4855545.0,17037.0,285.0,5508605.0,18061.0,305.0,5409175.0,17735.0,305.0,5228610.0,18346.0,285.0,5114325.0,17945.0,285.0,5556795.0,18219.0,305.0,5491830.0,18006.0,305.0,-0.011368238559992694,-0.011369755208549104
2019-5-15,5342681.25,18107.25,8,42741450.0,144858.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5148525.0,18065.0,285.0,4911975.0,17235.0,285.0,5571435.0,18267.0,305.0,5469870.0,17934.0,305.0,5289315.0,18559.0,285.0,5173605.0,18153.0,285.0,5621150.0,18430.0,305.0,5555575.0,18215.0,305.0,0.033043209663194295,0.03297345864768886
2019-4-15,5171788.75,17529.25,8,41374310.0,140234.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4990920.0,17512.0,285.0,4762350.0,16710.0,285.0,5327740.0,17468.0,305.0,5301815.0,17383.0,305.0,5128575.0,17995.0,285.0,5026260.0,17636.0,285.0,5450350.0,17870.0,305.0,5386300.0,17660.0,305.0,0.02348210125678274,0.02350871815083244
2019-3-15,5053130.625,17126.625,8,40425045.0,137013.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4870935.0,17091.0,285.0,4648920.0,16312.0,285.0,5236850.0,17170.0,305.0,5173715.0,16963.0,305.0,5006595.0,17567.0,285.0,4909410.0,17226.0,285.0,5320420.0,17444.0,305.0,5258200.0,17240.0,305.0,0.05303431793994684,0.05312795443540019
2019-2-15,4798638.125,16262.625,8,38389105.0,130101.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4565700.0,16020.0,285.0,4397550.0,15430.0,285.0,4985835.0,16347.0,305.0,4924530.0,16146.0,305.0,4766910.0,16726.0,285.0,4676565.0,16409.0,285.0,5065745.0,16609.0,305.0,5006270.0,16414.0,305.0,0.02015090825841903,0.019968013547203567
2019-1-15,4703851.25,15944.25,8,37630810.0,127554.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4522095.0,15867.0,285.0,4326585.0,15181.0,285.0,4905010.0,16082.0,305.0,4843705.0,15881.0,305.0,4689960.000000001,16456.0,285.0,4603890.0,16154.0,285.0,4984005.0,16341.0,305.0,4755560.0,15592.0,305.0,0.033531086081014294,0.03342002284714285
2018-12-15,4551243.125,15428.625,8,36409945.0,123429.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4363350.0,15310.0,285.0,4174110.0,14646.0,285.0,4731770.0,15514.0,305.0,4672600.0,15320.0,305.0,4630110.0,16246.0,285.0,4444005.0,15593.0,285.0,4808630.0,15766.0,305.0,4585370.0,15034.0,305.0,-0.05098617698417751,-0.05099145785439141
2018-11-15,4795760.625,16257.625,8,38366085.0,130061.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4597620.0,16132.0,285.0,4397835.0,15431.0,285.0,4985225.0,16345.0,305.0,4923005.0,16141.0,305.0,4880625.0,17125.0,285.0,4684830.0,16438.0,285.0,5066050.0,16610.0,305.0,4830895.0,15839.0,305.0,-0.054612480930768204,-0.05458312132005527
2018-10-15,5072798.75,17196.25,8,40582390.0,137570.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4801680.0,16848.0,285.0,4680270.0,16422.0,285.0,5277415.0,17303.0,305.0,5211840.0,17088.0,305.0,5169900.0,18140.0,285.0,4962705.0,17413.0,285.0,5363425.0,17585.0,305.0,5115155.0,16771.0,305.0,-0.05236639923708075,-0.052522108047053595
2018-9-15,5353122.5,18149.5,8,42824980.0,145196.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5042505.0,17693.0,285.0,4915680.0,17248.0,285.0,5542460.0,18172.0,305.0,5473835.0,17947.0,305.0,5432670.0,19062.0,285.0,5411295.0,18987.0,285.0,5633045.0,18469.0,305.0,5373490.0,17618.0,305.0,-0.03181339457686383,-0.031891131425066166
2018-8-15,5529019.375,18747.375,8,44232155.0,149979.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5292735.0,18571.0,285.0,5065305.0,17773.0,285.0,5710820.0,18724.0,305.0,5640365.0,18493.0,305.0,5601105.0,19653.0,285.0,5578875.0,19575.0,285.0,5804760.0,19032.0,305.0,5538190.0,18158.0,305.0,0.010747610588407897,0.010667403434054812
2018-7-15,5470227.5,18549.5,8,43761820.0,148396.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",5247705.0,18413.0,285.0,5020560.0,17616.0,285.0,5662325.0,18565.0,305.0,5592785.0,18337.0,305.0,5556930.0,19498.0,285.0,5534985.0,19421.0,285.0,5755655.0,18871.0,305.0,5390875.0,17675.0,305.0,0.052964232104954156,0.05284965270633646
2018-6-15,5195074.375,17618.375,8,41560595.0,140947.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4998330.0,17538.0,285.0,4781160.0,16776.0,285.0,5393315.0,17683.0,305.0,5193540.0,17028.0,305.0,5297010.0,18586.0,285.0,5275920.0,18512.0,285.0,5483595.0,17979.0,305.0,5137725.0,16845.0,305.0,0.002072229663179881,0.0020261335684121917
2018-5-15,5184331.25,17582.75,8,41474650.0,140662.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4977525.0,17465.0,285.0,4672860.0,16396.0,285.0,5391180.0,17676.0,305.0,5192320.0,17024.0,305.0,5410725.0,18985.0,285.0,5277345.0,18517.0,285.0,5414055.0,17751.0,305.0,5138640.0,16848.0,305.0,0.027523238076975653,0.027645056181416994
2018-4-15,5045463.75,17109.75,8,40363710.0,136878.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4752090.0,16674.0,285.0,4553445.0,15977.0,285.0,5253015.0,17223.0,305.0,5104480.0,16736.0,305.0,5273355.0,18503.0,285.0,5144250.0,18050.0,285.0,5274365.0,17293.0,305.0,5008710.0,16422.0,305.0,0.02265442600688372,0.022652899601034004
2018-3-15,4933693.75,16730.75,8,39469550.0,133846.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4646355.000000001,16303.0,285.0,4451985.0,15621.0,285.0,5135895.0,16839.0,305.0,4991020.0,16364.0,305.0,5157075.0,18095.0,285.0,5031675.0,17655.0,285.0,5156635.0,16907.0,305.0,4898910.0,16062.0,305.0,0.01573271333557491,0.01573159903773913
2018-2-15,4857275.625,16471.625,8,38858205.0,131773.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4573965.0,16049.0,285.0,4382730.0,15378.0,285.0,5055375.0,16575.0,305.0,4913245.0,16109.0,305.0,5077275.0,17815.0,285.0,4955010.0,17386.0,285.0,5076725.0,16645.0,305.0,4823880.0,15816.0,305.0,0.02354998070548131,0.023606817157860505
2018-1-15,4745518.75,16091.75,8,37964150.0,128734.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4460820.0,15652.0,285.0,4274145.0,14997.0,285.0,4993765.0,16373.0,305.0,4791855.000000001,15711.0,305.0,4951590.0,17374.0,285.0,4834455.0,16963.0,285.0,4951370.0,16234.0,305.0,4706150.0,15430.0,305.0,0.013674025146300561,0.013829167257320085
2017-12-15,4681503.75,15872.25,8,37452030.0,126978.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4380165.0,15369.0,285.0,4196055.0,14723.0,285.0,4902874.999999999,16075.0,305.0,4878170.0,15994.0,305.0,4861815.000000001,17059.0,285.0,4748670.0,16662.0,285.0,4861700.0,15940.0,305.0,4622580.0,15156.0,305.0,0.0261922399137553,0.026242412976537732
2017-11-15,4562014.375,15466.375,8,36496115.0,123731.0,2360,"CITY ONE SHATIN(Block 49),TAK YI ST|沙田第一城49座,得怡街",4227690.0,14834.0,285.0,4049565.0,14209.0,285.0,4731770.0,15514.0,305.0,4708590.0,15438.0,305.0,4692525.0,16465.0,285.0,4726440.0,16584.0,285.0,4692425.0,15385.0,305.0,4667110.0,15302.0,305.0,0.0035535075385202397,0.003682763208059825
