,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,21401627.0,16958.5,2,42803254.0,33917.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21361874.0,16927.0,1262.0,21441380.0,16990.0,1262.0,-0.02326853851691868,-0.02326853851691868
2019-11-15,21911475.0,17362.5,2,43822950.0,34725.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21869198.0,17329.0,1262.0,21953752.0,17396.0,1262.0,-0.042491589918932315,-0.042491589918932315
2019-10-15,22883846.0,18133.0,2,45767692.0,36266.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22837152.0,18096.0,1262.0,22930540.0,18170.0,1262.0,0.014603849597135232,0.014603849597135232
2019-9-15,22554464.0,17872.0,2,45108928.0,35744.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22506508.0,17834.0,1262.0,22602420.0,17910.0,1262.0,-0.06262456729256272,-0.06262456729256272
2019-8-15,24061292.0,19066.0,2,48122584.0,38132.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",24008288.0,19024.0,1262.0,24114296.0,19108.0,1262.0,0.0018391046187797855,0.0018391046187797855
2019-7-15,24017122.0,19031.0,2,48034244.0,38062.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",23961594.0,18987.0,1262.0,24072650.000000004,19075.0,1262.0,0.005282341133590496,0.005282341133590496
2019-6-15,23890922.0,18931.0,2,47781844.0,37862.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",23832870.0,18885.0,1262.0,23948974.0,18977.0,1262.0,-0.03262730269041114,-0.03262730269041114
2019-5-15,24696709.0,19569.5,2,49393418.0,39139.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",24634240.0,19520.0,1262.0,24759178.0,19619.0,1262.0,0.07859564031195743,0.07859564031195743
2019-4-15,22897097.0,18143.5,2,45794194.0,36287.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22835890.0,18095.0,1262.0,22958304.0,18192.0,1262.0,0.09529127678840932,0.09529127678840932
2019-3-15,20905030.0,16565.0,2,41810060.0,33130.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",20844454.0,16517.0,1262.0,20965606.0,16613.0,1262.0,0.0,0.0
2019-2-15,20905030.0,16565.0,2,41810060.0,33130.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",20839406.0,16513.0,1262.0,20970654.0,16617.0,1262.0,-0.019067922070231336,-0.019067922070231558
2019-1-15,21311393.999999996,16887.0,2,42622787.99999999,33774.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21609225.999999996,17123.0,1262.0,21013561.999999996,16651.0,1262.0,-0.07774227902023445,-0.07774227902023434
2018-12-15,23107851.0,18310.5,2,46215702.0,36621.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",23427768.0,18564.0,1262.0,22787934.0,18057.0,1262.0,0.03475459862676944,0.03475459862676944
2018-11-15,22331721.0,17695.5,2,44663442.0,35391.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22637756.0,17938.0,1262.0,22025686.0,17453.0,1262.0,0.03916962738937668,0.03916962738937668
2018-10-15,21489967.0,17028.5,2,42979934.0,34057.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21780858.0,17259.0,1262.0,21199076.0,16798.0,1262.0,0.003417695412627708,0.003417695412627708
2018-9-15,21416771.0,16970.5,2,42833542.0,33941.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21703876.0,17198.0,1262.0,21129666.0,16743.0,1262.0,-0.06729870843638364,-0.06729870843638364
2018-8-15,22962090.0,18195.0,2,45924180.0,36390.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",23270018.0,18439.0,1262.0,22654162.0,17951.0,1262.0,0.014666517956725356,0.014666517956725356
2018-7-15,22630184.0,17932.0,2,45260368.0,35864.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22934326.0,18173.0,1262.0,22326042.0,17691.0,1262.0,-0.005242282195656367,-0.005242282195656367
2018-6-15,22749443.0,18026.5,2,45498886.0,36053.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22938112.0,18176.0,1262.0,22560774.0,17877.0,1262.0,0.06533301814313575,0.06533301814313575
2018-5-15,21354302.0,16921.0,2,42708604.0,33842.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21530981.999999996,17061.0,1262.0,21177622.000000004,16781.0,1262.0,-0.06961016110408536,-0.06961016110408536
2018-4-15,22951994.0,18187.0,2,45903988.0,36374.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",23141294.0,18337.0,1262.0,22762694.0,18037.0,1262.0,0.02372576060341669,0.02372576060341669
2018-3-15,22420061.0,17765.5,2,44840122.0,35531.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22073642.0,17491.0,1262.0,22766480.0,18040.0,1262.0,0.009776337852047678,0.009776337852047678
2018-2-15,22202997.0,17593.5,2,44405994.0,35187.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21860364.0,17322.0,1262.0,22545630.0,17865.0,1262.0,0.01991304347826106,0.01991304347826084
2018-1-15,21769499.999999996,17250.0,2,43538999.99999999,34500.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21433807.999999996,16984.0,1262.0,22105191.999999996,17516.0,1262.0,0.002004008016031955,0.002004008016031955
2017-12-15,21725961.0,17215.5,2,43451922.0,34431.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21392162.0,16951.0,1262.0,22059760.0,17480.0,1262.0,-0.0011603956949319816,-0.0011603956949319816
2017-11-15,21751201.0,17235.5,2,43502402.0,34471.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21417402.0,16971.0,1262.0,22085000.0,17500.0,1262.0,-0.024617300019806998,-0.024617300019806998
2017-10-15,22300171.0,17670.5,2,44600342.0,35341.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21958800.0,17400.0,1262.0,22641542.0,17941.0,1262.0,-0.003468305887660672,-0.003468305887660672
2017-9-15,22377784.0,17732.0,2,44755568.0,35464.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22035782.0,17461.0,1262.0,22719785.999999996,18003.0,1262.0,0.0630695443645084,0.0630695443645084
2017-8-15,21050160.0,16680.0,2,42100320.0,33360.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",20729612.0,16426.0,1262.0,21370708.0,16934.0,1262.0,0.046850974362192765,0.046850974362192765
2017-7-15,20108077.0,15933.5,2,40216154.0,31867.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",19803304.0,15692.0,1262.0,20412850.0,16175.0,1262.0,-0.04032403782448957,-0.04032403782448957
2017-6-15,20952986.0,16603.0,2,41905972.0,33206.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",20636224.0,16352.0,1262.0,21269748.0,16854.0,1262.0,0.010037717483878827,0.010037717483878827
2017-5-15,20744756.0,16438.0,2,41489512.0,32876.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",20602150.0,16325.0,1262.0,20887362.0,16551.0,1262.0,-0.0403969643899591,-0.0403969643899591
2017-4-15,21618060.0,17130.0,2,43236120.0,34260.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21470406.0,17013.0,1262.0,21765714.0,17247.0,1262.0,-0.06511681566078542,0.20612568209822224
2017-3-15,23123808.794656925,14202.5,2,46247617.58931385,28405.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",24349393.589313854,11053.0,1262.0,21898224.0,17352.0,1262.0,0.11827193813633419,0.05071391580972118
2017-2-15,20678162.445168845,13517.0,2,41356324.89033769,27034.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22009864.890337687,11704.0,1262.0,19346460.0,15330.0,1262.0,0.10382859953601153,-0.0893963891134465
2017-1-15,18733128.0,14844.0,2,37466256.0,29688.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",18676338.0,14799.0,1262.0,18789918.0,14889.0,1262.0,-0.07223095815807956,-0.041951723247708794
2016-12-15,20191585.572642848,15494.0,2,40383171.145285696,30988.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21145243.1452857,15744.0,1262.0,19237928.0,15244.0,1262.0,0.004828211807717642,0.0600348920740259
2016-11-15,20094564.757808253,14616.5,2,40189129.51561651,29233.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21043327.515616506,14062.0,1262.0,19145802.0,15171.0,1262.0,-0.05585139699321651,-0.07889844660806
2016-10-15,21283264.831207804,15868.5,2,42566529.66241561,31737.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",22287451.662415605,15668.0,1262.0,20279078.0,16069.0,1262.0,0.05720412974694855,0.06364367584958774
2016-9-15,20131651.241565004,14919.0,2,40263302.48313001,29838.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21080902.48313001,14638.0,1262.0,19182400.0,15200.0,1262.0,0.009421303576233386,-0.01051235284364116
2016-8-15,19943755.070594884,15077.5,2,39887510.14118977,30155.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",20967606.141189765,15163.0,1262.0,18919904.0,14992.0,1262.0,0.040911066334834434,0.03600508468753216
2016-7-15,19159903.007678747,14553.5,2,38319806.015357494,29107.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",20143220.015357498,14704.0,1262.0,18176586.0,14403.0,1262.0,-0.07914384842215028,-0.048355456744915926
2016-6-15,20806618.90008448,15293.0,2,41613237.80016896,30586.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21874295.800168958,14945.0,1262.0,19738942.0,15641.0,1262.0,0.07956964978073766,0.05084862227719378
2016-5-15,19273067.656459533,14553.0,2,38546135.312919065,29106.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",20262279.31291907,14618.0,1262.0,18283856.0,14488.0,1262.0,-0.019695382901445346,-0.013523131672597888
2016-4-15,19660284.487390026,14752.5,2,39320568.97478005,29505.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",21653830.974780053,15506.0,1262.0,17666738.0,13999.0,1262.0,0.10173334139242596,0.06512400274358332
2016-3-15,17844866.583180983,13850.5,2,35689733.166361965,27701.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",19663595.166361965,15002.0,1262.0,16026138.0,12699.0,1262.0,0.005705380206273647,0.00943808760294429
2016-2-15,17743632.414018646,13721.0,2,35487264.82803729,27442.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",19560824.82803729,14822.0,1262.0,15926440.0,12620.0,1262.0,0.03903851322663576,0.05574577770938327
2016-1-15,17076972.786039926,12996.5,2,34153945.57207985,25993.0,2524,"DAWN GARDEN,HO MAN TIN HILL RD|春曉園,何文田山道",18834527.572079856,13854.0,1262.0,15319417.999999998,12139.0,1262.0,,
