,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,6959547.833333333,10880.666666666666,6,41757287.0,65284.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",6488027.0,11167.0,581.0,8561130.0,10415.0,822.0,5859186.0,11118.0,527.0,6061027.0,11501.0,527.0,8658948.0,10534.0,822.0,6128969.0,10549.0,581.0,0.00845105981302674,0.008496307967992056
2019-11-15,6901225.166666667,10789.0,6,41407351.0,64734.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",6433413.0,11073.0,581.0,8493726.0,10333.0,822.0,5808594.0,11022.0,527.0,6008327.0,11401.0,527.0,8586612.0,10446.0,822.0,6076679.0,10459.0,581.0,0.001463933552136254,0.0005255023183925456
2019-10-15,6891137.0,10783.333333333334,6,41346822.0,64700.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",6764002.0,11642.0,581.0,8403306.0,10223.0,822.0,5741665.0,10895.0,527.0,5939290.0,11270.0,527.0,8490438.0,10329.0,822.0,6008121.0,10341.0,581.0,-0.02583895142716497,-0.025617084080059027
2019-9-15,7073919.666666667,11066.833333333334,6,42443518.0,66401.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",6958056.0,11976.0,581.0,8645796.0,10518.0,822.0,5902927.0,11201.0,527.0,6105295.0,11585.0,527.0,8732106.0,10623.0,822.0,6099338.0,10498.0,581.0,-0.02489576622963685,-0.024848369142202564
2019-8-15,7254526.666666667,11348.833333333334,6,43527160.0,68093.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7137584.999999999,12285.0,581.0,8871846.0,10793.0,822.0,6052068.0,11484.0,527.0,6258652.0,11876.0,527.0,8954868.0,10894.0,822.0,6252141.0,10761.0,581.0,-0.01025189448055619,-0.010146676164032975
2019-7-15,7329669.666666667,11465.166666666666,6,43978018.0,68791.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7216020.0,12420.0,581.0,8970486.0,10913.0,822.0,6101079.0,11577.0,527.0,6322419.0,11997.0,527.0,9050220.0,11010.0,822.0,6317794.0,10874.0,581.0,0.014904467638654273,0.014930878295637218
2019-6-15,7222029.166666667,11296.5,6,43332175.0,67779.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7111440.0,12240.0,581.0,8842254.0,10757.0,822.0,6011489.0,11407.0,527.0,6226505.0,11815.0,527.0,8916234.0,10847.0,822.0,6224253.0,10713.0,581.0,-0.029801966615623177,-0.029134974861415475
2019-5-15,7443871.166666667,11635.5,6,44663227.0,69813.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7309561.0,12581.0,581.0,9222840.0,11220.0,822.0,6177494.0,11722.0,527.0,6395672.0,12136.0,527.0,9162012.0,11146.0,822.0,6395648.0,11008.0,581.0,0.010203699892111118,0.01021604179026725
2019-4-15,7368683.333333333,11517.833333333334,6,44212100.0,69107.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7238098.000000001,12458.0,581.0,9130776.0,11108.0,822.0,6115308.0,11604.0,527.0,6328216.0,12008.0,527.0,9069126.0,11033.0,822.0,6330576.0,10896.0,581.0,0.012176585907618165,0.01217118753295443
2019-3-15,7280037.333333333,11379.333333333334,6,43680224.0,68276.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7152109.999999999,12310.0,581.0,9021450.0,10975.0,822.0,6043109.0,11467.0,527.0,6251274.0,11862.0,527.0,8958978.0,10899.0,822.0,6253303.0,10763.0,581.0,0.03925343347421473,0.03925597820296223
2019-2-15,7005064.5,10949.5,6,42030387.0,65697.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",6883107.0,11847.0,581.0,8680320.0,10560.0,822.0,5815445.0,11035.0,527.0,6014124.0,11412.0,527.0,8621136.0,10488.0,822.0,6016255.0,10355.0,581.0,0.006495246993886372,0.006495794585816395
2019-1-15,6959858.5,10878.833333333334,6,41759151.0,65273.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",6840113.0,11773.0,581.0,8624424.0,10492.0,822.0,5778555.0,10965.0,527.0,5974072.0,11336.0,527.0,8565240.0,10420.0,822.0,5976747.0,10287.0,581.0,0.010906440086683178,0.01090306493828308
2018-12-15,6884770.166666667,10761.5,6,41308621.0,64569.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",6767488.0,11648.0,581.0,8531538.0,10379.0,822.0,5717423.0,10849.0,527.0,5908724.0,11212.0,527.0,8472354.0,10307.0,822.0,5911094.0,10174.0,581.0,-0.001145299739679695,-0.0011602004826434253
2018-11-15,6892664.333333333,10774.0,6,41355986.0,64644.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",6776203.0,11663.0,581.0,8540580.0,10390.0,822.0,5724274.0,10862.0,527.0,5916629.0,11227.0,527.0,8481396.0,10318.0,822.0,5916904.0,10184.0,581.0,-0.0735066613070009,-0.07365585234437688
2018-10-15,7439518.5,11630.666666666666,6,44637111.0,69784.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7303751.0,12571.0,581.0,9203112.0,11196.0,822.0,6169062.0,11706.0,527.0,6374592.0,12096.0,527.0,9139818.0,11119.0,822.0,6446776.0,11096.0,581.0,0.009267684813248689,0.010220330640724917
2018-9-15,7371204.5,11513.0,6,44227227.0,69078.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7207886.000000001,12406.0,581.0,9080634.0,11047.0,822.0,6087377.0,11551.0,527.0,6288691.0,11933.0,527.0,9204756.0,11198.0,822.0,6357883.0,10943.0,581.0,-0.05984832785040106,-0.059843484178291995
2018-8-15,7840441.833333333,12245.833333333334,6,47042651.0,73475.0,3860,"EMERALD GREEN(Block 1),SHAP PAT HEUNG RD|翹翠峰1座,十八鄉路",7668619.0,13199.0,581.0,9658500.0,11750.0,822.0,6475776.0,12288.0,527.0,6688157.0,12691.0,527.0,9791664.0,11912.0,822.0,6759935.0,11635.0,581.0,0.019297083893411227,0.01914141063874064
