,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,2851663.542838724,5452.75,4,11406654.171354895,21811.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",2944978.6107005263,5899.0,390.0,2894556.023875513,5798.0,390.0,2742276.9954748126,4982.0,430.0,2824842.5413040426,5132.0,430.0,-0.0012127643853979686,-0.03113894811656004
2019-11-15,2855126.1381348725,5628.0,4,11420504.55253949,22512.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",2897874.7921043476,5988.0,390.0,2869321.9175662454,5929.0,390.0,2794905.7556344764,5238.0,430.0,2858402.0872344202,5357.0,430.0,0.011024052776764659,0.01914980306940106
2019-10-15,2823994.276192841,5522.25,4,11295977.104771364,22089.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",2864486.5696834964,5872.0,390.0,2836192.935309919,5814.0,390.0,2766184.327180428,5143.0,430.0,2829113.2725975215,5260.0,430.0,-0.028552036861978047,-0.010038990722896934
2019-9-15,2906994.9017862235,5578.25,4,11627979.607144894,22313.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",2952401.809387392,5939.0,390.0,2916609.0950792776,5867.0,390.0,2847420.0447714264,5195.0,430.0,2911548.657906798,5312.0,430.0,-0.025120222931318104,0.02357906325978254
2019-8-15,2981900.91759532,5449.75,4,11927603.67038128,21799.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",3027280.005475811,5800.0,390.0,2990743.867478689,5730.0,390.0,2922275.412536097,5078.0,430.0,2987304.3848906816,5191.0,430.0,-0.010628974896468524,-0.02092971030765778
2019-7-15,3013935.9673316516,5566.25,4,12055743.869326606,22265.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",3058715.8975729444,5922.0,390.0,3021527.862344094,5850.0,390.0,2955005.2480440526,5189.0,430.0,3020494.861365515,5304.0,430.0,0.014763831546722006,0.07208204930662565
2019-6-15,2970086.1162323393,5192.0,4,11880344.464929357,20768.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",3013165.719734708,5522.0,390.0,2976606.1211794335,5455.0,390.0,2913099.034366425,4842.0,430.0,2977473.5896487897,4949.0,430.0,-0.026899998283480997,0.02124311565696302
2019-5-15,3052190.0226011686,5084.0,4,12208760.090404674,20336.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",3095168.067303353,5405.0,390.0,3057373.230588825,5339.0,390.0,2995277.517898174,4744.0,430.0,3060941.2746143225,4848.0,430.0,0.010021726745925275,-0.0025505199136747203
2019-4-15,3021905.313299224,5097.0,4,12087621.253196895,20388.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",3063376.161588528,5417.0,390.0,3026052.398128154,5351.0,390.0,2967297.1962861056,4759.0,430.0,3030895.497194108,4861.0,430.0,-0.037141616448679304,-0.22411234159150584
2019-3-15,3138473.284257544,6569.25,4,12553893.137030177,26277.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",3025486.1607322027,5568.0,390.0,2988536.976297973,5500.0,390.0,3303690.0,7683.0,430.0,3236180.0,7526.0,430.0,0.039506205507193526,0.042035135027957304
2019-2-15,3019196.29496221,6304.25,4,12076785.17984884,25217.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",2909786.9177546515,5324.0,390.0,2874808.2620941894,5260.0,390.0,3178560.0,7392.0,430.0,3113630.0,7241.0,430.0,0.006686974207658514,-0.017187621794372165
2019-1-15,2999141.115676553,6414.5,4,11996564.462706212,25658.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",2890134.975665727,5594.0,390.0,2855519.4870404853,5527.0,390.0,3157920.0,7344.0,430.0,3092990.0,7193.0,430.0,0.01117086860122285,-0.03740386419058339
2018-12-15,2966008.227497038,6663.75,4,11864032.909988152,26655.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",2857654.2415425903,6175.0,390.0,2823408.6684455615,6101.0,390.0,3123520.0,7264.0,430.0,3059450.0,7115.0,430.0,-0.014688859637722151,-0.09330566705218046
2018-11-15,3010225.0,7349.5,4,12040900.0,29398.0,1640,"LUEN FAT HSE(Block 5),PING CHEONG PATH|聯發樓5座,屏昌徑",2935530.0,7527.0,390.0,2916810.0,7479.0,390.0,3126530.0,7271.0,430.0,3062030.0,7121.0,430.0,-0.07194580075302426,-0.0719449442813398
